,dbuz_head_rep1,dbuz_head_rep2,dbuz_head_rep3,dkoep_head_rep1,dkoep_head_rep2,dkoep_head_rep3
LOC6572827,1313,1130,1287,578,736,728
LOC6572829,3616,2636,3325,361,402,501
LOC6572830,71,83,106,38,68,64
LOC6572831,1069,793,928,749,864,1234
LOC6572833,661,553,637,599,719,808
LOC6572834,0,0,0,2,4,0
LOC6572835,1756,1429,1783,2826,3669,4632
LOC6572836,309,291,349,246,269,240
LOC6572838,1278,1121,1344,1355,1710,1973
LOC6572840,214,153,205,98,121,156
LOC6572844,13650,11224,13081,18053,20541,22341
LOC6572846,740,612,755,829,1026,1139
LOC6572847,239,229,244,143,208,261
LOC6572848,533,516,597,553,709,906
LOC6572849,418,332,407,492,497,666
LOC6572850,408,335,324,299,368,455
LOC6572851,355,286,340,316,337,420
LOC6572853,4257,3575,4291,2377,2908,3291
LOC6572855,363,294,331,128,175,165
LOC6572857,1,0,1,2,0,1
LOC6572859,2,0,3,1,0,0
LOC6572860,20,19,17,30,46,49
LOC6572862,231,180,236,234,238,362
LOC6572863,4128,3506,4129,1910,2277,2519
LOC6572866,2481,2077,2371,1212,1414,1475
LOC6572870,100,78,91,56,71,87
LOC6572871,878,702,791,454,519,614
LOC6572872,189,140,158,185,200,239
LOC6572873,1111,1002,1177,1379,1801,2002
LOC6572874,748,522,650,766,829,1151
LOC6572875,4018,2990,3413,4695,5389,6786
LOC6572876,14,11,16,19,22,27
LOC6572877,5,8,6,9,12,23
LOC6572879,2212,1837,2185,1640,2100,2541
LOC6572880,279,207,243,329,439,465
LOC6572881,8,11,14,26,27,28
LOC6572882,34,30,32,65,70,60
LOC6572883,1242,1114,1253,624,772,848
LOC6572885,172,161,146,144,198,286
LOC6572887,1889,1604,1863,1730,2151,2449
LOC6572888,221,165,184,100,131,154
LOC6572889,330,279,328,330,429,493
LOC6572890,3186,2769,3476,3874,5185,5655
LOC6572891,866,719,867,873,1115,1209
LOC6572892,17135,12473,13825,16171,16321,22893
LOC6572893,267,204,201,267,331,365
LOC6572894,121,123,163,95,140,128
LOC6572895,168,116,146,161,199,203
LOC6572896,662,577,617,418,520,516
LOC6572897,389,320,401,265,355,387
LOC6572898,1,1,0,1,2,2
LOC6572899,2286,1871,2171,1556,2080,1855
LOC6572900,1203,880,1150,1273,1615,1734
LOC6572902,1117,907,1009,958,1010,1107
LOC6572903,3979,3222,3976,3388,4400,4498
LOC6572904,393,323,386,586,752,943
LOC6572905,0,0,2,2,9,10
LOC6572906,2141,1698,2131,2635,3304,3646
LOC6572907,2656,2300,2680,2945,3892,3866
LOC6572908,1062,801,927,626,794,989
LOC6572910,593,514,622,700,768,1115
LOC6572911,4170,3150,3554,2151,2395,3445
LOC6572912,172,151,174,106,145,163
LOC6572915,3063,2489,2992,2904,3790,4309
LOC6572916,240,216,233,287,346,475
LOC6572917,18,8,13,400,526,543
LOC6572918,1144,1097,1306,951,1345,1478
LOC6572919,16,16,13,1006,1008,1755
LOC6572920,2,3,2,28,24,32
LOC6572921,564,428,492,534,674,714
LOC6572923,822,640,771,410,524,630
LOC6572924,113,91,91,21,30,48
LOC6572927,2563,1898,2438,1355,1821,1855
LOC6572929,0,0,2,5,9,6
LOC6572930,1,1,3,41,49,35
LOC6572931,3264,2581,3127,2212,2596,2852
LOC6572933,349,281,353,68,60,80
LOC6572934,412,339,384,321,393,429
LOC6572935,18,20,20,6,5,12
LOC6572936,4,3,5,12,12,8
LOC6572937,2154,1662,1750,919,1069,1390
LOC6572940,260,213,313,192,260,277
LOC6572941,1,1,0,1,2,0
LOC6572945,0,0,0,0,0,0
LOC6572946,1,0,0,0,1,1
LOC6572951,136,135,158,157,206,235
LOC6572952,38,30,32,72,79,79
LOC6572953,0,0,0,1,0,0
LOC6572954,608,452,576,738,889,930
LOC6572957,3,0,5,14,16,11
LOC6572960,2,3,1,4,2,0
LOC6572961,2456,1982,2392,2107,2814,3335
LOC6572963,2184,1882,2437,1132,1622,1597
LOC6572964,603,460,507,221,292,337
LOC6572965,981,791,983,2045,2526,2751
LOC6572966,1715,1482,1923,1677,2295,2226
LOC6572968,1578,1272,1523,1060,1265,1395
LOC6572970,60043,43321,49994,59964,60661,93917
LOC6572972,9095,6966,8752,8868,11355,11659
LOC6572973,82,62,93,48,85,74
LOC6572974,825,641,856,780,914,1032
LOC6572975,1068,951,1165,636,792,791
LOC6572976,5119,4141,4857,3974,5210,5142
LOC6572977,10244,8157,9893,7603,9441,9986
LOC6572978,101,76,122,50,74,70
LOC6572979,1864,1560,1902,1631,2115,2315
LOC6572980,571,398,544,383,558,635
LOC6572982,18087,13541,16403,25946,30869,37875
LOC6572983,25293,20449,24644,41106,51369,59621
LOC6572985,132,112,124,82,113,106
LOC6572986,178,124,163,571,612,932
LOC6572988,1,0,0,0,0,0
LOC6572992,25,12,9,20,17,20
LOC6572993,94,67,92,14,30,35
LOC6572994,31298,24365,27208,27911,29206,51188
LOC6572995,21,20,26,18,24,28
LOC6572999,2318,1687,2052,1901,2160,2692
LOC6573000,265,181,227,176,246,275
LOC6573002,235,232,262,332,423,440
LOC6573004,826,729,910,862,1163,1337
LOC6573005,451,417,460,1477,1788,2022
LOC6573006,0,0,1,1,0,0
LOC6573007,0,0,0,8,5,7
LOC6573009,0,0,0,0,0,1
LOC6573010,1,0,0,2,0,1
LOC6573011,2,0,5,11,6,17
LOC6573013,1910,1528,1905,2232,2760,2982
LOC6573014,43,36,38,49,51,52
LOC6573015,60,43,53,65,85,81
LOC6573016,865,663,712,526,648,988
LOC6573018,3689,2789,3211,4692,5287,7218
LOC6573022,19484,15997,19172,15846,20519,21858
LOC6573023,802,678,971,319,357,473
LOC6573024,22137,18338,21297,17593,22680,22653
LOC6573025,697,501,616,527,563,649
LOC6573026,2430,1881,2197,4067,4913,6065
LOC6573027,5519,4714,5666,9810,12958,14625
LOC6573028,601,437,571,438,593,614
LOC6573030,925,761,850,2111,2552,3119
LOC6573031,86,60,101,71,74,98
LOC6573032,7150,5494,6393,8284,9171,10202
LOC6573033,3015,2542,3088,3447,4544,4719
LOC6573034,2369,1989,2343,1652,1874,2009
LOC6573035,337,241,325,274,396,452
LOC6573036,2260,1955,2396,1293,1635,1849
LOC6573037,2080,1833,2156,2024,2602,3050
LOC6573038,1054,853,1048,840,1123,1100
LOC6573039,626,509,587,572,789,857
LOC6573040,13897,11726,14200,8114,10332,10295
LOC6573041,869,656,894,685,814,801
LOC6573043,967,675,771,2284,2793,3301
LOC6573045,46,43,59,119,223,222
LOC6573046,376,261,316,260,359,377
LOC6573047,867,734,982,632,775,907
LOC6573048,922,768,890,246,269,314
LOC6573049,204,184,201,34,40,41
LOC6573050,1283,1001,1192,798,968,1036
LOC6573051,3737,3110,3810,2849,3980,3647
LOC6573053,407,324,428,256,431,389
LOC6573054,4888,4033,4624,4123,5033,5634
LOC6573055,339,254,338,260,305,341
LOC6573056,481,419,461,617,856,843
LOC6573057,41,39,50,77,97,99
LOC6573058,160,121,137,30,29,46
LOC6573059,901,704,783,828,948,1154
LOC6573060,781,648,783,810,979,1362
LOC6573061,10057,7279,8839,12514,14222,17087
LOC6573062,101,74,98,46,65,73
LOC6573064,162,136,152,167,200,203
LOC6573065,35,26,35,441,445,512
LOC6573066,1,1,1,6,3,6
LOC6573071,5817,5251,6236,5928,6910,6804
LOC6573072,505,375,382,477,518,677
LOC6573073,2483,2093,2506,1455,1702,1928
LOC6573074,0,0,0,8,2,4
LOC6573076,1418,1130,1364,1137,1416,1649
LOC6573078,412,298,394,312,385,434
LOC6573079,780,650,801,912,1241,1299
LOC6573080,293,218,268,212,275,291
LOC6573081,421,329,449,535,660,713
LOC6573082,3,1,2,30,36,43
LOC6573084,2,7,6,1,4,9
LOC6573085,25,24,18,4,7,13
LOC6573087,10,11,14,7,18,12
LOC6573089,986,828,1003,601,829,801
LOC6573092,263,231,241,129,158,159
LOC6573093,17,7,12,37,46,48
LOC6573094,2681,2159,2460,1394,1682,2175
LOC6573099,1681,1456,1891,1116,1453,1334
LOC6573100,280,248,318,380,489,555
LOC6573101,14,18,8,2,6,12
LOC6573102,0,0,0,0,0,1
LOC6573103,856,649,709,1437,1463,2844
LOC6573104,10996,8947,10655,9000,11134,11504
LOC6573105,418,337,392,503,677,858
LOC6573106,674,549,717,526,648,673
LOC6573107,850,723,863,340,476,546
LOC6573108,90,70,77,106,141,159
LOC6573110,480,391,443,700,828,938
LOC6573111,171,145,141,190,213,226
LOC6573113,1691,1342,1699,2000,2424,2821
LOC6573114,116,88,103,937,1122,1393
LOC6573116,987,782,932,858,995,1208
LOC6573117,11358,8478,10019,10150,11382,14052
LOC6573118,206,134,173,225,261,300
LOC6573119,322,270,322,441,495,552
LOC6573121,1883,1499,1890,1236,1519,1552
LOC6573125,2,0,0,0,0,0
LOC6573126,41479,33705,41231,21398,26127,30274
LOC6573128,545,469,638,234,321,331
LOC6573132,0,0,1,19,11,24
LOC6573133,0,2,0,28,19,29
LOC6573134,1,2,1,19,33,33
LOC6573135,182,141,157,1005,1204,1513
LOC6573136,0,0,0,0,0,0
LOC6573137,188,144,188,147,196,179
LOC6573139,129,105,122,74,76,99
LOC6573140,6,1,9,2,3,6
LOC6573141,5,8,8,18,19,19
LOC6573142,1,1,1,1,3,0
LOC6573143,0,0,0,0,0,0
LOC6573146,5,3,0,1,5,7
LOC6573147,0,0,0,0,0,0
LOC6573148,17,7,12,10,6,5
LOC6573150,1,0,0,0,0,0
LOC6573151,10,4,8,0,2,2
LOC6573153,0,0,3,0,0,1
LOC6573154,4,0,0,0,1,5
LOC6573155,0,1,0,0,0,0
LOC6573156,1,0,4,0,1,0
LOC6573157,0,1,0,0,0,0
LOC6573159,9,8,4,14,12,9
LOC6573160,0,0,1,3,0,0
LOC6573161,5,2,1,2,0,2
LOC6573162,0,0,1,4,3,1
LOC6573163,327,276,324,124,139,192
LOC6573164,1,3,5,0,2,2
LOC6573165,280,222,248,187,213,323
LOC6573166,597,459,643,380,503,570
LOC6573167,230,176,206,163,224,262
LOC6573168,1614,1356,1657,1114,1304,1377
LOC6573170,2748,2160,2446,2692,2848,4493
LOC6573172,344,246,249,254,304,349
LOC6573173,290,310,401,226,347,328
LOC6573174,10799,9225,11299,8458,11186,9816
LOC6573176,2294,1944,2593,1135,1340,1384
LOC6573180,5,1,1,0,2,3
LOC6573182,930,733,861,436,531,731
LOC6573184,221,174,214,103,107,151
LOC6573185,502,364,457,634,755,845
LOC6573186,1083,765,844,4081,4587,6213
LOC6573187,1308,1031,1180,975,1220,1301
LOC6573188,2213,1710,2039,1316,1771,1703
LOC6573189,3970,3227,4161,2474,3030,3087
LOC6573190,209,186,240,99,115,102
LOC6573191,3530,2840,3326,3160,3802,4274
LOC6573192,2025,1643,1848,1556,1471,2004
LOC6573193,215,209,249,194,232,259
LOC6573194,45804,35095,39082,29335,28371,48234
LOC6573195,185,133,157,317,372,493
LOC6573196,286,213,253,467,584,745
LOC6573197,98,74,96,2,5,4
LOC6573198,0,1,0,1,0,0
LOC6573200,1036,938,1129,1069,1351,1574
LOC6573202,1132,760,1064,650,805,892
LOC6573203,150,126,158,154,162,194
LOC6573205,465,453,582,351,455,487
LOC6573206,6192,4865,5911,6058,7419,7671
LOC6573208,3496,2821,3158,3010,3400,4084
LOC6573210,2,1,0,49,44,60
LOC6573211,0,0,0,0,0,0
LOC6573212,0,0,0,0,0,0
LOC6573213,0,0,0,0,0,0
LOC6573214,0,0,0,0,0,0
LOC6573215,0,0,0,0,0,0
LOC6573217,0,1,0,1,1,0
LOC6573218,0,0,0,0,2,0
LOC6573219,1,0,0,1,4,3
LOC6573220,1201,1015,1116,1795,2303,2486
LOC6573221,1994,1695,2119,3017,4294,3947
LOC6573225,8,6,4,52,50,93
LOC6573226,28,23,22,50,61,62
LOC6573227,0,1,1,0,0,2
LOC6573228,1,0,0,0,2,1
LOC6573229,1,0,0,0,1,2
LOC6573231,7,8,4,6,4,5
LOC6573232,3362,2819,3606,3458,4602,4538
LOC6573233,1571,1184,1492,1286,1576,1983
LOC6573234,335,291,347,369,459,528
LOC6573235,380,343,428,300,389,438
LOC6573236,758,580,756,559,651,918
LOC6573237,22545,14827,17475,16496,15809,23690
LOC6573238,427,340,409,365,441,522
LOC6573239,852,760,924,1663,2479,2446
LOC6573240,40663,33759,40359,19943,25541,24569
LOC6573241,884,806,1072,542,829,872
LOC6573242,483,317,403,371,482,489
LOC6573244,2500,2052,2467,2090,2811,2946
LOC6573246,4017,3044,3852,3305,4343,4997
LOC6573247,2616,2173,2477,1418,1634,1760
LOC6573248,1003,797,1002,469,606,638
LOC6573251,1,0,0,1,4,3
LOC6573252,1236,1060,1230,1303,1755,1740
LOC6573254,5506,4219,5272,5548,7375,8004
LOC6573255,19,16,9,32,45,63
LOC6573256,5109,4536,5555,3147,4525,3873
LOC6573261,157,146,163,86,139,177
LOC6573263,2610,2112,2481,1816,2362,2267
LOC6573264,1991,1458,1716,1753,2116,2534
LOC6573265,214,169,174,509,572,831
LOC6573266,1203,969,1318,989,1075,1641
LOC6573267,157,110,133,170,248,290
LOC6573268,116,66,76,127,116,176
LOC6573269,1640,1253,1588,1074,1396,1429
LOC6573272,2441,2113,2514,2091,2948,2861
LOC6573275,584,486,598,728,1015,1224
LOC6573276,52,42,64,4,7,11
LOC6573278,7,4,9,3,0,0
LOC6573279,5430,4447,5183,2650,2985,3663
LOC6573282,5638,4567,5344,3043,3949,3699
LOC6573283,2,2,4,1,5,3
LOC6573284,8,7,6,34,33,45
LOC6573289,1312,1053,1207,705,1007,1062
LOC6573290,5,4,2,6,10,7
LOC6573291,3,2,7,5,6,4
LOC6573294,67,40,60,61,75,94
LOC6573296,0,2,1,0,2,7
LOC6573299,1,2,2,0,1,1
LOC6573300,9301,7216,8457,6661,7613,8236
LOC6573304,1632,1238,1586,2358,2926,3144
LOC6573305,643,642,832,813,1090,1192
LOC6573306,8871,7602,9625,8715,12463,11911
LOC6573307,37,49,47,60,59,86
LOC6573308,441,370,420,439,505,608
LOC6573309,652,516,574,502,589,688
LOC6573310,1064,855,958,377,427,472
LOC6573312,1361,983,1285,985,1249,1351
LOC6573313,999,775,934,1819,2086,2542
LOC6573315,450,350,423,830,1129,1268
LOC6573316,2752,2108,2514,2729,3594,3689
LOC6573317,605,494,581,654,849,1002
LOC6573318,1484,1254,1438,1233,1690,1859
LOC6573319,619,449,623,571,824,892
LOC6573320,3210,2662,3441,4070,5771,6092
LOC6573321,432,376,426,323,399,457
LOC6573323,4128,3245,3717,2945,3692,3641
LOC6573324,6601,5256,6295,4548,5725,5443
LOC6573325,1834,1556,1787,1511,1747,1875
LOC6573326,1581,1260,1415,824,847,1004
LOC6573327,5489,4777,5759,3202,4264,4161
LOC6573328,1728,1374,1752,1190,1628,1733
LOC6573329,931,684,847,716,925,886
LOC6573330,857,700,873,692,943,953
LOC6573331,989,758,978,986,1416,1439
LOC6573332,880,729,859,683,988,1047
LOC6573333,2505,1885,2401,3162,4000,4173
LOC6573334,41802,35737,38917,30634,35404,49696
LOC6573335,1760,1233,1588,2031,2659,2865
LOC6573336,2744,2189,2684,2721,3361,4596
LOC6573337,1159,1053,1276,1202,1782,1794
LOC6573338,1024,797,1041,993,1384,1450
LOC6573339,8,7,4,12,10,23
LOC6573340,4,5,11,500,677,704
LOC6573343,0,0,0,2,0,1
LOC6573344,2034,1823,2089,1494,1894,1807
LOC6573345,939,734,885,496,652,638
LOC6573346,6672,5389,6406,4523,5569,5490
LOC6573347,3062,2457,3040,1753,2251,2254
LOC6573348,588,481,609,326,468,524
LOC6573349,746,643,727,720,805,930
LOC6573350,530,407,544,768,929,1017
LOC6573352,1708,1318,1599,1229,1586,1474
LOC6573353,855,653,764,668,817,916
LOC6573354,228,175,199,419,460,736
LOC6573356,1987,1671,2003,1312,1558,1955
LOC6573357,3846,3123,3787,986,1286,1424
LOC6573358,1450,1102,1338,1093,1261,1525
LOC6573359,1015,740,951,560,643,834
LOC6573360,2,1,2,12,11,6
LOC6573361,795,592,731,499,742,665
LOC6573362,2011,1688,1925,1190,1403,1632
LOC6573363,229,150,182,196,293,298
LOC6573364,190,211,222,112,157,148
LOC6573365,506,429,544,454,640,676
LOC6573366,1976,1451,1787,955,1136,1265
LOC6573371,502,389,516,469,634,733
LOC6573372,1810,1557,1846,2350,3393,3564
LOC6573374,12945,11119,13688,9291,11664,13891
LOC6573375,2704,2190,2572,1216,1432,1478
LOC6573376,89,73,105,285,386,387
LOC6573378,52474,38237,44800,48835,56984,64892
LOC6573379,2708,1935,2260,2496,2945,3207
LOC6573380,1466,1253,1670,1215,1835,1808
LOC6573381,92,60,70,113,140,169
LOC6573382,1226,871,998,1017,1083,1576
LOC6573383,1266,985,1299,1029,1287,1241
LOC6573384,4828,3635,4298,7069,8168,12374
LOC6573385,1573,1316,1679,1451,2018,2104
LOC6573386,652,610,645,571,745,744
LOC6573387,851,617,762,943,1118,1431
LOC6573388,957,771,879,930,1202,1116
LOC6573392,4660,3883,4772,4960,6875,7431
LOC6573396,1520,1186,1369,1100,1255,1430
LOC6573399,7126,5685,6622,4380,4693,5153
LOC6573400,1,2,0,1,1,1
LOC6573401,0,3,0,0,0,0
LOC6573404,357,270,326,266,302,377
LOC6573405,4,5,16,2,0,1
LOC6573406,1448,1053,1241,640,750,1030
LOC6573407,2094,1510,1836,1603,2016,2306
LOC6573408,113,111,134,70,91,91
LOC6573410,244,217,236,181,229,254
LOC6573412,3,5,5,0,0,2
LOC6573414,5,2,4,1,0,2
LOC6573415,1,0,1,2,2,1
LOC6573416,1,0,2,0,1,0
LOC6573419,65,36,46,43,47,44
LOC6573420,1552,1242,1489,1220,1514,1524
LOC6573421,1200,1055,1279,1136,1616,1689
LOC6573422,1032,844,1071,944,1202,1355
LOC6573423,1151,999,1082,700,992,1039
LOC6573424,121,94,100,92,95,128
LOC6573425,1615,1260,1357,2663,3402,3556
LOC6573426,83,70,70,131,169,221
LOC6573427,0,4,1,2,2,7
LOC6573428,616,553,683,433,617,620
LOC6573429,2987,2300,2689,2532,2972,3218
LOC6573430,3349,2819,3281,2266,2969,3104
LOC6573431,107,65,68,38,47,32
LOC6573433,3,2,3,1,0,3
LOC6573436,6,4,14,7,4,8
LOC6573437,130,112,123,69,71,74
LOC6573444,114,94,129,67,63,90
LOC6573446,1,1,2,1,3,2
LOC6573447,334,234,257,258,301,329
LOC6573448,100,68,100,1937,2895,3067
LOC6573449,6086,5095,5736,5323,6456,6626
LOC6573450,668,684,736,1293,1536,1831
LOC6573451,822,617,840,890,1067,1208
LOC6573452,1293,1003,1233,1215,1626,1524
LOC6573454,55,27,56,51,57,79
LOC6573455,119,107,115,233,281,337
LOC6573456,397,307,311,363,383,480
LOC6573457,1950,1632,1925,1869,2294,2519
LOC6573458,1702,1380,1666,1362,1840,1816
LOC6573460,2,5,9,2,1,8
LOC6573461,1,0,0,11,6,15
LOC6573462,147,115,123,152,165,211
LOC6573463,1705,1308,1590,7349,8881,10246
LOC6573464,22139,18301,22106,13436,16427,16285
LOC6573466,648,514,705,660,917,988
LOC6573467,1465,1213,1422,696,763,902
LOC6573468,283,214,281,283,378,385
LOC6573469,1123,865,1007,985,1171,1305
LOC6573470,2311,1812,2187,1644,2194,2242
LOC6573472,5705,4638,5486,3520,3863,4525
LOC6573474,5014,3770,4642,4576,5522,5904
LOC6573475,1693,1507,1923,782,1010,974
LOC6573476,602,532,630,546,631,707
LOC6573478,6747,5886,6990,3627,4589,4331
LOC6573480,2422,2036,2546,1724,2298,2406
LOC6573481,9,7,6,3,8,5
LOC6573482,571,517,626,319,441,445
LOC6573483,1427,1111,1298,1168,1440,1509
LOC6573487,5225,4419,5491,2908,3762,4397
LOC6573488,807,566,789,580,776,824
LOC6573489,17,13,13,6,4,9
LOC6573490,6,4,5,3,8,8
LOC6573491,0,2,0,0,1,0
LOC6573494,0,0,0,0,0,1
LOC6573495,0,0,0,0,0,0
LOC6573499,0,0,0,0,0,0
LOC6573504,0,1,2,1,3,5
LOC6573513,1903,1612,1995,1619,2227,2515
LOC6573514,265,215,232,185,207,224
LOC6573515,4768,3931,4828,2326,2805,2739
LOC6573516,696,508,676,597,649,888
LOC6573517,449,361,413,415,532,652
LOC6573518,262,217,286,237,302,375
LOC6573519,633,484,646,375,431,475
LOC6573521,1315,942,1119,779,979,1108
LOC6573522,7091,5787,6998,6515,8106,9335
LOC6573525,1289,1077,1335,2181,2687,3288
LOC6573526,1,0,0,1,0,0
LOC6573529,1707,1397,1654,1890,2352,2631
LOC6573530,29709,26331,32143,19911,24231,33394
LOC6573531,735,663,822,561,784,739
LOC6573532,466,393,540,339,392,463
LOC6573534,1385,1049,1329,1096,1464,1571
LOC6573536,423,372,464,432,542,544
LOC6573537,688,528,706,631,958,968
LOC6573541,1425,1072,1277,2249,2597,3229
LOC6573542,1,0,0,2,1,0
LOC6573543,3,1,0,18,15,30
LOC6573544,540,408,480,512,577,667
LOC6573545,1006,846,916,834,1083,1131
LOC6573546,2576,2013,2532,1629,2187,2144
LOC6573547,2347,1809,2132,1862,2595,2617
LOC6573548,2438,2037,2370,1451,1903,1839
LOC6573552,9215,7908,9691,10992,14310,15716
LOC6573553,3657,2881,3489,1702,2297,2242
LOC6573554,129,106,112,125,129,155
LOC6573555,2526,1978,2400,1876,2299,2482
LOC6573556,3,0,0,1,4,0
LOC6573557,21,17,5,58,61,57
LOC6573558,550,457,496,146,167,227
LOC6573559,11576,9544,11367,7325,9460,8837
LOC6573560,0,0,0,6,5,9
LOC6573561,0,0,0,5,9,4
LOC6573562,9149,6972,8146,9137,10604,13137
LOC6573563,21,23,13,7,11,7
LOC6573564,630,500,660,561,655,759
LOC6573568,1029,833,949,1330,1627,1850
LOC6573569,3282,2717,3150,1747,2280,2383
LOC6573570,20,7,17,59,74,70
LOC6573571,1530,1292,1507,1415,1746,1806
LOC6573572,5415,4376,5633,3481,4385,4610
LOC6573573,1030,924,1054,1226,1652,1651
LOC6573574,905,789,1004,1215,1681,1739
LOC6573575,5741,4256,5305,3541,4395,4839
LOC6573576,686,553,775,1085,1352,1481
LOC6573578,6817,5379,6270,3495,4198,5011
LOC6573579,2902,2178,2693,1571,1889,1929
LOC6573582,1914,1411,2010,1212,1640,1820
LOC6573583,15553,12963,15806,8715,11159,11212
LOC6573584,1630,1381,1729,1455,1739,2153
LOC6573589,11149,9141,11322,10847,14233,15529
LOC6573591,1472,1168,1426,1086,1327,1538
LOC6573592,2431,1977,2393,2853,3950,4083
LOC6573593,3300,2581,3166,2646,3235,3631
LOC6573594,1332,959,1179,1987,2526,2625
LOC6573595,105,70,104,122,156,146
LOC6573596,264,221,272,133,178,217
LOC6573597,2307,2194,2803,2506,4039,3614
LOC6573598,2612,2079,2484,2058,2852,2910
LOC6573599,1811,1621,2009,1643,2375,2542
LOC6573600,327,264,283,237,257,351
LOC6573602,9207,7403,9133,9026,11641,12721
LOC6573603,2,3,3,18,32,36
LOC6573605,0,0,2,6,9,4
LOC6573609,708,483,597,485,602,767
LOC6573610,5732,4621,5847,3312,4356,3987
LOC6573611,349,271,339,212,260,257
LOC6573612,15,4,8,6,12,13
LOC6573613,308,271,317,198,243,293
LOC6573614,1700,1423,1794,1599,1776,2078
LOC6573617,27400,21085,25261,40686,50018,57497
LOC6573618,547,422,514,704,832,1032
LOC6573619,1004,877,939,693,808,931
LOC6573620,5985,4435,5150,7632,8188,11321
LOC6573621,1226,979,1219,981,1524,1554
LOC6573622,7262,5950,7384,5291,7510,7644
LOC6573624,698,493,645,1082,1391,1527
LOC6573625,1332,949,1186,1409,1827,1913
LOC6573626,1298,1187,1427,685,909,752
LOC6573627,842,692,789,888,1119,1238
LOC6573628,3,1,5,15,9,17
LOC6573629,9850,8045,9690,11117,13522,13490
LOC6573630,9671,7256,8725,9117,10379,13281
LOC6573632,700,546,752,822,1114,1238
LOC6573633,448,392,427,294,447,386
LOC6573634,143,84,111,333,369,463
LOC6573635,3113,2757,3420,2108,3045,2693
LOC6573636,799,569,660,1150,1397,1749
LOC6573638,17,10,9,10,9,9
LOC6573639,14846,11110,13639,13429,17014,19520
LOC6573640,3773,3072,3953,2879,3927,4390
LOC6573641,5345,4234,5295,4884,6264,6836
LOC6573642,1076,860,1087,692,862,879
LOC6573644,186,128,146,781,960,1098
LOC6573645,73086,58169,68001,65110,76671,84394
LOC6573646,1,1,1,0,3,3
LOC6573647,568,489,529,1494,1764,2210
LOC6573648,754,653,780,775,898,1004
LOC6573649,1025,737,859,1093,1236,1464
LOC6573650,684,549,670,497,648,711
LOC6573651,1064,997,1189,675,906,968
LOC6573652,940,735,859,776,877,1010
LOC6573653,2,1,3,2,2,4
LOC6573654,24,8,9,1,1,3
LOC6573656,638,471,614,917,1142,1303
LOC6573659,3,0,1,2,2,1
LOC6573660,100,74,84,54,89,96
LOC6573661,23,22,26,1,1,1
LOC6573662,14025,11555,13593,10146,12112,14034
LOC6573664,841,707,751,507,624,644
LOC6573665,4487,3687,4334,4206,4965,4984
LOC6573666,1,0,0,0,1,1
LOC6573667,0,0,0,0,0,0
LOC6573669,181,175,216,204,209,309
LOC6573670,0,0,0,0,0,4
LOC6573672,31,13,15,1,4,2
LOC6573673,41,30,36,23,21,46
LOC6573674,51,44,54,53,60,73
LOC6573675,0,0,0,0,0,0
LOC6573678,0,0,2,0,1,0
LOC6573679,0,0,0,1,2,1
LOC6573681,1371,1141,1350,1173,1441,1447
LOC6573682,1372,1228,1547,1224,1769,2011
LOC6573683,6520,5045,6195,5296,6208,7635
LOC6573684,374,328,357,183,238,225
LOC6573685,568,421,576,404,525,627
LOC6573686,186,125,148,202,202,280
LOC6573687,46084,35905,40047,44294,42549,61991
LOC6573688,189,143,211,153,207,229
LOC6573689,0,1,1,8,2,5
LOC6573691,1364,1132,1416,2055,2641,2672
LOC6573692,211,140,199,318,406,576
LOC6573694,277,203,246,280,325,381
LOC6573695,350,259,306,428,440,565
LOC6573700,10,13,15,3,8,2
LOC6573702,292,266,304,527,741,773
LOC6573708,35,34,44,45,50,53
LOC6573709,0,1,0,0,0,0
LOC6573710,309,281,375,285,375,370
LOC6573719,1644,1374,1629,1296,1766,1742
LOC6573721,22,33,29,243,263,295
LOC6573722,1,0,0,2,1,0
LOC6573723,0,0,0,0,0,0
LOC6573725,1,1,1,5,9,11
LOC6573726,327,272,316,588,739,723
LOC6573727,11179,9347,11135,10703,13872,13609
LOC6573728,7924,6227,7844,4167,6000,6265
LOC6573729,8001,6548,7794,68,83,120
LOC6573730,128,94,98,50,70,65
LOC6573731,515,412,496,572,794,810
LOC6573732,6,9,9,2,6,4
LOC6573733,10215,8396,10084,7677,9730,11008
LOC6573734,3415,2606,3097,2308,2632,2898
LOC6573735,12999,9620,11681,8284,10733,12585
LOC6573736,32,18,35,56,53,81
LOC6573737,6629,5452,6399,5533,6728,7011
LOC6573738,1,4,0,0,0,1
LOC6573739,1179,996,1265,720,877,861
LOC6573740,5,9,11,162,218,262
LOC6573742,0,0,4,0,0,2
LOC6573743,0,0,0,0,0,0
LOC6573744,0,0,0,0,0,0
LOC6573745,0,0,0,1,1,0
LOC6573746,0,0,0,0,0,0
LOC6573748,0,1,0,0,0,0
LOC6573749,0,0,0,0,0,1
LOC6573750,0,0,0,0,0,0
LOC6573751,0,0,0,1,0,0
LOC6573752,0,0,0,0,0,0
LOC6573754,11899,9684,11296,7127,8526,8694
LOC6573758,1652,1332,1591,2610,3199,3755
LOC6573760,1092,896,1045,856,940,908
LOC6573761,27,17,31,47,58,43
LOC6573762,377,305,374,370,536,562
LOC6573763,4212,3267,3738,3505,4186,4472
LOC6573764,328,266,294,183,243,269
LOC6573768,119,106,129,96,96,129
LOC6573769,2832,1936,2241,1439,1533,2570
