,dbuz_head_rep1,dbuz_head_rep2,dbuz_head_rep3,dkoep_head_rep1,dkoep_head_rep2,dkoep_head_rep3
LOC116804902,406,350,438,470,625,677
LOC116804906,76,63,98,53,68,72
LOC116804909,404,302,348,403,508,522
LOC116804910,2471,1999,2603,1067,1505,1213
LOC122756692,1309,1126,1381,1225,1543,1876
LOC122756693,1486,1430,1719,1416,2004,2159
LOC122756694,1459,1127,1401,4482,6128,6715
LOC122756695,861,647,812,1014,1126,1321
LOC122756696,2834,2375,2643,4670,5811,6947
LOC122756697,154,146,157,12,12,16
LOC122756699,43,36,55,28,43,41
LOC122756701,1728,1230,1534,8158,10033,11706
LOC122756702,94,73,98,82,102,109
LOC122756707,6198,4825,5766,3113,3616,4584
LOC122756709,1699,1294,1524,1489,1678,1936
LOC122756711,282,258,347,139,229,217
LOC122756716,20,19,15,27,27,36
LOC122756717,89,108,113,49,76,69
LOC122756722,10,7,9,12,15,21
LOC122756728,0,1,1,0,1,1
LOC122756760,242,166,204,251,272,250
LOC122756763,230,174,216,211,225,334
LOC122756764,0,0,0,0,1,0
LOC122756765,0,1,0,0,0,0
LOC122756766,441,332,405,397,462,618
LOC122756768,5,9,11,6,2,9
LOC122756770,10,14,16,15,20,18
LOC122756777,75,85,64,99,135,113
LOC122756778,2,0,0,0,2,7
LOC122756781,0,0,1,0,0,0
LOC122756784,15,12,24,7,8,17
LOC122756787,667,517,613,238,291,281
LOC122756789,0,0,0,0,0,0
LOC122756790,85,112,109,54,61,75
LOC122756794,1338,1244,1545,646,869,822
LOC122756796,273,226,269,210,223,251
LOC122756797,1,1,3,1,0,1
LOC122756798,0,0,0,2,0,3
LOC122756802,4,5,3,8,13,11
LOC122756805,0,0,4,0,0,0
LOC122756808,5,6,9,25,25,40
LOC122756809,83,76,77,30,40,47
LOC122756811,58,39,61,39,53,33
LOC122756812,18,13,7,23,36,32
LOC122756816,0,0,0,0,0,0
LOC122756821,91,70,105,95,87,86
LOC122756822,0,0,0,0,0,1
LOC122756823,0,0,0,1,0,2
LOC122756826,29,17,31,25,29,26
LOC122756827,0,0,0,0,0,0
LOC122756828,0,0,0,1,0,4
LOC122756830,0,0,1,0,0,0
LOC122756832,311,186,256,258,306,301
LOC122756841,2,1,4,1,3,2
LOC122756844,70,62,73,43,49,39
LOC122756845,136,113,137,64,79,73
LOC122756848,0,0,0,14,10,16
LOC122756851,18,13,14,3,4,2
LOC122756859,91,78,85,143,184,203
LOC122756867,508,497,639,238,339,299
LOC122756868,6,7,7,9,7,7
LOC122756882,1,0,2,0,0,1
LOC122756883,6,8,3,28,27,24
LOC122756888,4,1,1,1,1,1
LOC122756893,1,0,0,150,120,208
LOC122756894,0,0,0,4,7,5
LOC122756895,0,0,0,0,0,1
LOC122756900,14,14,18,27,36,38
LOC122756903,24,21,15,5,15,13
LOC122756908,47,33,43,7,8,5
LOC122756909,0,0,0,0,0,0
LOC122756911,5,7,9,1,6,4
LOC122756917,1,0,0,0,0,0
LOC122756927,0,0,0,0,0,0
LOC122756937,0,0,0,0,0,0
LOC122756945,0,0,0,0,0,0
LOC122756948,0,0,0,0,0,0
LOC122756952,0,0,0,0,0,0
LOC122756955,1434,1504,1811,1637,1985,2167
LOC122756960,1,3,1,0,0,0
LOC122756963,396875,263995,321393,311335,413572,448362
LOC122756969,0,0,0,0,0,0
LOC122756972,13,10,8,14,11,9
LOC122756975,67,70,71,219,323,325
LOC122756984,0,1,1,0,0,0
LOC122756987,0,0,0,0,0,0
LOC122756988,0,0,0,0,0,0
LOC122756989,4,6,1,0,0,0
LOC122756990,0,1,0,0,3,0
LOC122756991,0,0,1,0,1,0
LOC122756994,1824,1326,1526,831,975,1202
LOC122756995,41,32,39,168,246,227
LOC122756997,1,0,0,0,1,0
LOC122757000,0,0,0,0,0,0
LOC122757001,0,2,0,0,0,0
LOC122757002,0,0,0,0,0,0
LOC122757003,3,5,6,114,114,131
LOC122757005,166,93,112,108,101,139
LOC122757007,0,2,0,0,0,0
LOC122757009,126,111,124,73,93,90
LOC122757011,0,0,3,0,0,2
LOC122757018,86,69,80,30,46,30
LOC122757020,248,192,206,5,7,10
LOC122757025,1539,1201,1316,3002,3121,5474
LOC122757026,69,57,103,59,61,70
LOC122757030,93,56,78,61,91,94
LOC122757031,9,9,3,7,5,6
LOC122757032,197,158,179,80,120,101
LOC122757033,10407,5678,4420,7229,8906,9412
LOC122757038,1557,1202,1443,1758,2262,2669
LOC122757041,0,0,0,0,0,0
LOC122757051,59,35,46,57,60,122
LOC122757052,1,0,1,6,4,4
LOC122757053,21,19,35,3,5,8
LOC122757054,43,45,38,45,65,57
LOC122757055,4,3,9,10,6,7
LOC122757059,189,160,174,93,154,127
LOC122757069,15,16,14,325,419,547
LOC122757094,137,122,149,91,127,134
LOC122757095,18,11,12,0,0,0
LOC122757102,51,40,69,50,44,57
LOC122757115,0,0,0,0,0,0
LOC122757124,2,1,1,0,0,0
