,dari_head_rep1,dari_head_rep2,dari_head_rep3,dmoj01_head_rep1,dmoj01_head_rep2,dmoj01_head_rep3,dmoj20_head_rep1,dmoj20_head_rep2,dmoj20_head_rep3,dmoj22_head_rep1,dmoj22_head_rep2,dmoj22_head_rep3,dmoj26_head_rep1,dmoj26_head_rep2,dmoj26_head_rep3
LOC116803920,7,7,21,0,0,0,0,0,0,0,0,0,0,0,1
LOC116803921,1,3,12,8,31,2,13,0,4,0,0,0,8,1,0
LOC116803923,223,245,1080,320,527,226,165,404,159,201,418,312,102,177,98
LOC116803924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC116803930,454,434,1950,740,2264,752,30,70,60,211,692,442,552,789,446
LOC116803935,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
LOC116803938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC116803941,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0
LOC116803942,128,102,597,34,55,17,18,38,10,7,22,10,0,6,0
LOC116803949,95,87,537,16,33,12,5,34,14,8,7,5,1,18,14
LOC116803952,4,1,30,0,2,0,6,3,12,3,9,8,0,13,0
LOC116803953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC116803957,11,21,15,10,11,8,6,18,5,2,6,3,9,17,5
LOC116803958,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0
LOC116803960,2,3,12,133,134,62,29,53,21,3,26,5,24,40,17
LOC116803962,0,0,0,431,740,234,289,499,315,19,90,56,265,328,198
LOC116803964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC116803966,3,0,10,0,0,1,1,0,0,1,6,0,0,0,0
LOC116803973,65,50,340,55,145,38,48,130,78,38,73,40,57,71,64
LOC116803976,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC116803977,6,8,5,15,37,23,66,54,81,1,4,5,15,63,32
LOC116803979,0,0,13,0,2,3,5,10,5,0,0,0,0,3,1
LOC116803980,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
LOC116803981,2,0,3,0,0,0,0,14,3,0,0,0,1,6,2
LOC116803982,2,0,27,16,20,8,2,12,3,0,2,0,10,23,16
LOC116803985,5,8,8,10,0,5,11,19,16,1,7,5,0,16,7
LOC116803987,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
LOC116803989,1,0,8,4,0,3,12,50,2,0,9,3,0,2,3
LOC116803996,95,50,461,44,168,57,120,333,184,125,265,209,6,14,9
LOC116803999,1228,876,4331,2028,3541,1293,1238,2188,1176,1630,4106,2107,686,1007,528
LOC116804001,10,8,3,0,11,4,0,0,0,3,0,1,0,0,0
LOC116804005,2,8,19,2,0,4,1,0,0,0,0,1,0,0,1
LOC116804046,0,0,0,0,4,2,0,0,0,0,0,3,0,0,0
LOC116804049,26,25,117,34,112,50,35,163,80,27,66,59,65,138,56
LOC116804053,38,26,100,47,67,22,48,76,42,3,15,13,41,84,46
LOC116804054,29,18,127,36,48,22,49,42,43,9,15,20,23,25,5
LOC116804055,8,20,51,8,19,10,12,0,12,4,2,5,0,2,2
LOC116804056,0,0,5,1,0,0,3,6,0,6,4,7,0,2,5
