,dari_head_rep1,dari_head_rep2,dari_head_rep3,dmoj01_head_rep1,dmoj01_head_rep2,dmoj01_head_rep3,dmoj20_head_rep1,dmoj20_head_rep2,dmoj20_head_rep3,dmoj22_head_rep1,dmoj22_head_rep2,dmoj22_head_rep3,dmoj26_head_rep1,dmoj26_head_rep2,dmoj26_head_rep3
LOC26527435,90,88,436,252,515,175,47,129,72,62,212,109,82,103,87
LOC26527437,9,4,17,2,13,16,7,6,13,2,3,9,7,0,0
LOC26527439,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
LOC26527442,30,12,131,0,4,2,13,23,14,14,19,20,6,8,9
LOC26527444,4,0,7,2,10,1,7,31,17,0,5,10,0,2,4
LOC26527445,150,146,801,57,156,43,33,38,51,34,59,68,29,28,25
LOC26527449,23,15,143,8,14,3,1,6,2,0,26,1,0,5,0
LOC26527452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC26527454,237,171,1028,346,705,150,266,443,256,171,375,246,172,247,99
LOC26527455,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0
LOC26527456,2,0,10,0,0,0,0,0,2,0,0,0,0,0,0
LOC26527459,2,2,28,5,9,0,5,0,10,0,3,0,2,0,0
LOC26527462,772,421,2698,831,975,425,233,385,131,577,1098,599,43,64,29
LOC26527464,5,0,7,16,28,4,33,44,22,7,15,5,11,15,9
LOC26527467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC26527468,17,11,97,20,7,7,6,17,30,4,17,3,5,8,3
LOC26527469,0,4,0,7,10,2,3,11,10,3,9,3,3,3,1
LOC26527472,10,8,62,24,44,19,0,0,0,6,4,3,7,26,2
LOC26527474,0,0,0,0,0,0,3,0,0,7,3,11,0,10,0
LOC26527479,246,214,1411,375,817,252,287,616,335,190,468,324,203,342,210
LOC26527481,468,318,2236,539,865,240,325,585,323,305,569,375,163,383,126
LOC26527485,2,0,0,9,25,6,4,17,3,0,0,0,0,5,0
LOC26527488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC26527489,1041,791,4623,2448,4566,1470,1462,3003,1631,1012,2319,1493,1426,1670,961
LOC26527490,28,20,214,57,104,54,30,84,52,56,113,110,22,86,17
LOC26527496,5,7,17,19,42,5,14,7,19,16,12,14,40,35,23
LOC26527497,0,6,7,8,43,1,1,5,4,0,0,1,0,0,2
LOC26527507,0,5,0,3,0,4,0,0,0,0,0,0,0,0,0
LOC26527512,544,423,2535,472,1086,437,383,1003,511,514,1386,691,247,272,176
LOC26527513,5,8,30,0,2,0,0,0,3,8,9,5,0,0,0
LOC26527519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC26527520,456,353,1963,327,618,170,253,522,233,146,401,262,203,386,157
LOC26527522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC26527527,594,486,2975,315,982,294,821,2085,1225,411,1184,726,272,472,318
LOC26527528,0,3,11,1,0,8,0,0,0,0,0,3,0,0,0
LOC26527530,228,162,760,254,406,215,488,887,490,286,765,502,31,28,21
LOC26527538,20,15,54,59,133,18,23,103,44,12,31,30,25,36,29
LOC26527541,1574,1704,10402,143,441,94,1399,3732,2066,1345,4882,2752,1021,1896,1008
LOC26527546,6,3,12,5,2,2,1,11,1,1,6,0,6,14,4
LOC26527550,11,4,102,0,10,7,3,20,13,0,8,11,23,31,11
LOC26527552,0,2,0,0,6,0,0,9,0,0,0,0,0,0,2
LOC26527557,64,62,511,194,343,104,143,274,165,120,215,165,119,204,159
LOC26527558,21,13,140,86,221,74,94,237,112,31,70,52,214,358,132
LOC26527560,274,220,1620,520,1231,267,231,417,303,189,565,370,179,305,141
LOC26527561,89,66,378,108,276,85,51,117,70,79,230,175,52,64,23
LOC26527567,8,9,11,4,40,21,13,25,5,6,15,8,15,10,8
LOC26527573,4,0,14,0,0,0,0,0,0,0,0,0,0,0,0
LOC26527574,69,61,519,1333,2564,891,337,680,443,135,277,210,141,268,177
LOC26527575,5,8,42,10,14,11,10,41,8,6,30,14,7,36,6
LOC26527576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC26527579,261,184,1039,1613,2950,1084,360,835,486,267,631,439,381,508,231
LOC26527580,0,0,0,8,28,14,1,3,7,0,6,2,0,0,5
LOC26527581,992,620,4592,661,1377,471,670,1223,813,578,1127,611,431,504,311
LOC26527585,18,16,152,93,221,81,11,24,14,10,18,16,24,9,24
LOC26527590,24602,13406,93589,32362,67948,27100,31524,68320,42099,36613,66651,61244,23042,27129,13016
LOC26527592,175,164,1059,0,0,0,22,67,43,56,188,99,18,5,0
LOC26527598,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
LOC26527599,1766,1304,7107,1684,3293,1273,1382,2400,1456,1530,3281,1929,927,1508,800
LOC26527601,31,10,127,43,48,53,12,54,4,16,63,53,33,43,35
LOC26527610,0,1,0,5,0,0,1,0,0,0,0,0,0,0,0
LOC26527611,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0
LOC26527612,771,618,3543,1390,3145,978,728,1645,924,527,1383,846,718,1039,478
LOC26527613,0,0,0,1,1,0,1,3,2,0,0,0,0,0,0
LOC26527615,130,64,576,68,195,94,64,142,50,69,124,124,60,85,43
LOC26527616,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
LOC26527617,106,93,504,201,474,133,87,346,118,87,342,206,65,97,64
LOC26527618,25,24,200,33,104,32,13,34,16,11,16,21,15,22,4
LOC26527619,11,8,60,13,0,0,3,0,3,3,5,1,9,4,0
LOC26527622,74,76,428,70,176,61,56,109,77,52,111,82,80,107,67
LOC26527629,0,2,9,0,1,0,2,24,14,0,6,0,0,0,0
LOC26527630,1278,1029,6086,293,814,240,430,958,552,380,847,592,252,505,193
LOC26527632,356,397,2028,807,1684,592,500,998,713,369,912,648,555,917,465
LOC26527634,50,39,208,113,324,74,29,70,49,28,66,28,9,35,12
LOC26527635,0,2,0,0,2,5,0,0,0,2,12,0,0,1,0
LOC26527636,301,172,1466,502,967,420,276,602,329,294,705,551,174,285,211
LOC26527643,0,5,7,0,0,0,0,0,0,0,0,0,0,0,0
LOC26527644,8,8,26,0,17,4,7,30,8,5,8,0,2,4,3
LOC26527646,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0
LOC26527658,17,20,138,55,116,49,34,97,40,19,77,39,20,21,10
LOC26527669,17,15,96,0,0,0,27,45,8,5,12,12,24,40,24
LOC26527670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC26527673,1,2,10,3,6,0,9,49,5,3,3,1,0,0,0
LOC26527675,20,18,100,43,111,18,42,70,58,14,50,30,14,25,18
LOC26527677,47,72,367,124,228,67,75,237,107,10,40,39,50,151,51
LOC26527678,64,75,505,74,182,52,51,78,33,17,89,38,46,190,71
LOC26527679,1493,1115,7074,1460,3417,1153,1001,2589,1501,1214,3300,2049,629,886,426
LOC26527684,157,111,732,173,397,145,60,92,59,25,42,59,45,111,49
LOC26527688,4,2,46,0,8,2,0,0,1,0,1,0,0,0,2
LOC26527689,2,0,12,0,7,0,6,15,7,0,5,1,0,2,0
LOC26527690,174,169,959,284,629,221,134,468,254,158,524,288,125,150,53
LOC26527692,15,17,64,26,23,5,20,57,7,6,2,6,9,14,13
LOC26527694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC26527695,282,295,1771,2028,6252,1919,1332,3601,2414,880,1952,1877,3034,5098,2542
LOC26527697,0,0,7,21,12,17,0,0,0,5,0,0,0,0,0
LOC26527701,19,9,102,22,120,34,6,20,5,375,955,591,9,16,2
LOC26527707,14,9,72,18,40,7,14,60,24,12,50,26,6,6,4
LOC26527708,6517,5171,30832,6160,12635,3984,3798,8073,4697,6093,13675,9916,2662,3631,2152
LOC26527710,47,53,334,750,1295,419,333,567,462,262,668,486,341,586,292
LOC26527711,14,4,47,10,23,9,3,25,9,3,13,15,0,0,1
LOC26527712,11,0,19,10,4,4,3,8,9,4,11,4,0,0,2
LOC26527719,1699,1403,8123,1306,3096,1179,1886,4789,3086,1443,4550,2543,503,684,411
LOC26527720,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
LOC26527723,682,614,3129,834,1692,625,708,1888,847,736,1701,1045,481,831,442
LOC26527728,53,59,210,54,58,17,68,179,73,59,187,73,0,2,3
LOC26527731,3,0,0,0,0,0,0,0,0,7,38,14,0,2,0
LOC26527732,2,0,6,0,0,0,5,0,9,0,0,6,9,6,0
LOC26527733,0,0,0,2,26,4,5,24,15,0,2,0,1,3,0
LOC26527735,326,173,1136,1099,1422,418,5,17,18,65,61,102,0,0,0
LOC26527736,857,645,3994,1695,3031,1111,1297,2830,1568,648,1493,916,1877,2481,1266
LOC26527737,5,15,31,34,112,22,17,28,9,4,2,6,10,7,1
LOC26527738,173,136,975,257,620,163,155,343,172,156,334,222,77,188,97
LOC26527741,12,18,161,269,641,133,20,17,16,12,62,52,5,0,0
LOC26527742,249,210,1422,221,451,159,252,573,342,76,227,221,161,280,110
LOC26527746,4,1,0,37,48,25,8,12,0,2,4,17,5,41,7
LOC26527752,97591,70026,467014,613889,1042630,394952,247951,539940,335649,70996,168234,111645,143032,153284,94053
LOC26527755,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
LOC26527756,128,163,842,164,358,91,116,249,223,63,235,150,162,190,95
LOC26527758,0,0,0,6,11,2,4,12,3,2,0,0,0,9,3
LOC26527760,4,4,24,3,8,1,11,30,2,1,4,4,2,0,0
LOC26527763,5,17,0,4,7,2,2,40,2,0,0,0,0,3,6
LOC26527764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC26527765,2089,1743,10992,1964,4341,1532,1333,2790,1742,915,2701,1837,1030,1751,948
LOC26527770,12,5,6,6,51,16,16,46,32,3,4,9,15,29,15
LOC26527771,10390,15259,94630,20147,77222,27592,10993,45137,25567,12373,45458,35985,13453,25723,15770
LOC26527773,0,0,0,29,50,28,7,1,10,4,18,7,0,17,2
LOC26527776,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
LOC26527784,0,0,0,0,9,3,3,0,1,0,0,0,0,0,5
LOC26527786,0,4,13,15,7,12,13,0,6,7,28,11,0,0,0
LOC26527788,336,257,1769,17,14,12,515,943,650,0,0,0,1073,1586,865
LOC26527789,275,143,1198,354,513,174,272,613,234,245,501,341,163,195,107
LOC26527790,0,0,3,0,1,0,0,0,0,0,24,6,17,17,8
LOC26527791,36,46,248,138,131,49,65,70,67,27,92,74,26,118,26
LOC26527792,285,214,1060,424,614,219,422,780,430,381,696,445,91,132,74
LOC26527794,725,478,2805,1200,2431,953,757,1542,933,510,1348,1117,638,1113,594
LOC26527795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC26527796,3,0,0,0,0,0,0,0,0,1,0,3,0,0,0
LOC26527797,2,1,6,7,14,15,27,58,24,6,65,23,10,31,4
LOC26527799,156,176,1084,131,469,199,108,342,239,96,250,228,141,273,137
LOC26527801,3,1,32,7,6,0,0,0,0,0,2,2,0,0,0
LOC26527804,769,658,3912,1049,2741,1086,709,1420,873,229,625,469,1102,2006,927
LOC26527805,30629,13828,84858,279409,558821,226991,211261,414357,253228,10,31,13,106,114,107
LOC26527809,118,76,560,178,346,90,96,231,133,139,374,171,52,114,50
LOC26527810,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0
LOC26527811,153,98,697,423,760,171,205,454,212,300,867,463,172,299,168
LOC26527813,1,5,39,0,8,3,3,0,2,0,2,1,0,0,1
LOC26527814,0,2,0,0,0,0,9,0,2,0,2,7,0,0,0
LOC26527815,48475,59755,345844,95615,190667,83166,72515,164814,94398,29861,76355,60523,105521,153960,84373
LOC26527817,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
LOC26527819,70,106,638,759,2061,555,2,0,0,168,385,304,0,2,0
LOC26527821,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
LOC26527823,83,123,601,138,571,158,105,306,203,20,146,94,151,367,167
LOC26527826,15,3,60,24,54,15,23,31,42,12,56,35,13,14,3
LOC26527828,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0
LOC26527832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
LOC26527835,0,0,0,17,20,5,4,18,14,2,0,1,0,4,3
LOC26527837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC26527843,2400,2329,14369,2527,5364,1978,1815,4197,2382,1841,5436,3085,1642,2307,1231
LOC26527847,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
LOC26527855,201,171,1384,2384,3386,1145,98,226,136,927,1591,1426,224,330,183
LOC26527856,214,152,916,158,441,129,119,315,152,126,285,178,135,135,91
LOC26527857,14,7,71,21,47,11,20,126,61,19,26,24,79,103,41
LOC26527859,0,0,1,2,14,0,1,0,0,0,6,4,0,4,0
LOC26527862,6,11,60,10,9,6,5,6,6,3,6,0,4,0,2
LOC26527865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC26527867,17,15,81,96,129,94,45,100,91,69,95,70,137,167,168
LOC26527869,3,1,34,2,20,3,0,0,0,0,4,0,1,9,4
LOC26527871,0,0,0,0,0,1,1,0,2,0,0,0,0,4,0
LOC26527873,27,5,125,311,486,197,234,351,166,126,216,155,301,431,208
LOC26527875,102,112,449,86,167,57,99,143,95,95,314,130,46,39,29
LOC26527876,0,2,2,0,0,0,1,0,4,0,0,0,0,0,1
LOC26527877,122,165,769,292,667,242,66,119,84,99,300,213,53,53,50
LOC26527879,0,1,9,0,0,0,1,0,2,0,0,0,0,0,0
LOC26527880,0,2,6,0,0,6,0,0,0,0,20,11,3,0,0
LOC26527882,2,0,0,0,0,2,2,0,4,3,6,2,0,0,0
LOC26527883,257,205,1493,340,740,197,283,439,332,221,593,337,136,352,132
LOC26527884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC26527888,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC26527892,2,0,0,0,0,0,1,7,15,0,0,0,9,11,1
LOC26527895,2,11,16,0,30,0,5,0,5,0,6,0,0,1,0
LOC26527900,1,4,17,12,10,7,1,11,10,5,17,12,8,14,8
LOC26527904,0,0,7,1,21,5,2,4,0,0,1,2,0,4,4
LOC26527906,18,10,55,14,40,20,22,42,40,11,28,22,0,4,0
LOC26527910,21,14,77,25,27,6,24,36,21,12,28,23,21,11,3
LOC26527912,907,669,4112,1083,2708,862,957,2344,1229,849,2233,1338,289,324,198
LOC26527915,87,40,289,79,88,37,60,85,43,56,95,66,49,41,55
LOC26527917,388,271,1753,1565,2734,1041,705,1471,925,756,1733,1084,507,708,362
LOC26527918,252,228,1592,375,739,288,236,562,434,270,657,504,73,138,96
LOC26527923,70,38,241,63,137,31,88,162,86,55,185,154,54,96,40
LOC26527925,433,374,2198,624,1321,436,275,690,425,378,1265,739,324,619,296
LOC26527929,4,2,9,10,31,12,10,43,5,19,30,22,0,4,4
LOC26527930,134,114,836,78,118,43,27,81,44,8,12,21,108,102,54
LOC26527933,67,62,424,141,362,109,60,192,106,46,159,107,87,110,66
LOC26527934,33,16,210,12,26,17,2,19,15,8,7,12,6,7,7
LOC26527935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC26527938,5,4,64,11,4,6,9,17,3,0,7,2,22,18,4
LOC26527939,2299,1791,10754,2933,6972,2417,1321,3686,2259,3903,10069,6519,1279,1593,921
LOC26527940,395,251,1890,745,1550,649,384,789,594,457,948,952,768,1183,591
LOC26527941,1,0,0,0,0,0,0,0,4,0,0,0,0,3,0
LOC26527942,56,34,186,35,124,21,94,183,90,75,209,115,14,5,4
LOC26527944,108,43,246,3,4,2,54,34,29,18,22,15,76,130,87
LOC26527946,24,27,133,43,86,28,36,87,57,31,90,75,30,59,44
LOC26527947,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC26527948,407,266,1697,469,947,262,274,579,258,186,539,337,193,340,114
LOC26527949,3,4,10,13,14,7,7,20,14,3,7,4,9,29,21
LOC26527955,1186,903,5687,1206,2916,934,291,850,399,244,790,586,344,683,351
LOC26527956,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
LOC26527959,3,2,18,0,9,4,2,1,0,0,4,6,0,8,1
LOC26527960,212,180,1151,380,1155,449,213,614,387,137,341,388,193,265,149
LOC26527964,0,0,0,11,29,13,0,2,0,1,0,0,2,3,13
LOC26527965,147,122,964,340,1034,205,4,26,4,24,81,40,0,0,0
LOC26527966,0,0,0,2,12,5,0,0,3,0,9,0,0,0,0
LOC26527968,267,160,879,174,278,104,107,231,154,155,316,217,99,72,57
LOC26527969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC26527972,981,796,4937,2221,4763,1578,1468,3463,1781,1376,3639,2122,634,709,405
LOC26527974,13,5,78,0,1,0,3,0,0,1,0,0,0,0,0
LOC26527985,106,100,375,173,478,121,117,124,97,44,136,35,315,472,121
LOC26527988,129,111,450,252,228,59,153,242,172,141,204,172,104,96,83
LOC26527993,3,4,9,3,0,2,2,0,2,8,5,2,0,0,0
LOC26527997,747,682,3890,542,1484,633,436,1258,728,330,933,676,502,677,478
LOC26527998,2,7,31,32,28,3,7,17,7,3,23,13,14,13,1
LOC26527999,0,0,19,4,4,1,0,0,0,0,3,0,0,0,0
LOC26528001,10,4,32,29,50,17,8,68,38,22,58,27,25,35,25
LOC26528002,7,5,62,9,0,0,5,0,0,2,0,3,5,0,0
LOC26528004,834,606,4115,899,1918,672,631,1278,834,813,1753,1375,406,681,314
LOC26528006,162,202,1118,234,649,224,121,458,221,161,265,254,180,367,154
LOC26528009,1411,1096,6589,3010,5929,2099,1975,3711,2062,870,2245,1517,1884,2524,1457
LOC26528013,2,1,0,6,0,1,3,0,8,0,1,4,1,4,0
LOC26528014,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
LOC26528015,1338,881,5999,1332,3178,1317,1951,4153,2388,1202,3502,2136,650,686,436
LOC26528016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC26528017,0,0,15,5,16,1,3,0,6,2,8,5,0,3,1
LOC26528018,336,198,1354,422,821,284,298,670,354,249,459,428,201,256,154
LOC26528020,4,13,20,5,7,2,5,2,3,2,11,7,0,1,0
LOC26528022,5,5,41,4,22,5,6,12,15,2,7,7,0,3,2
LOC26528023,53,67,265,45,76,22,53,134,27,45,137,61,2,22,16
LOC26528024,1,0,0,0,0,0,0,0,0,4,1,0,5,0,0
LOC26528025,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0
LOC26528028,1,0,12,0,1,0,0,0,0,0,1,0,0,0,0
LOC26528029,1029,882,4121,612,1289,702,458,961,603,453,1042,636,1629,2015,1151
LOC26528030,846,562,3809,1224,2192,979,1052,1704,1098,896,1964,1151,833,1083,501
LOC26528031,11,8,49,7,0,4,6,6,16,5,35,4,4,6,3
LOC26528032,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
LOC26528033,46,71,265,106,221,52,189,462,272,67,171,107,14,38,33
LOC26528034,25,17,109,6,32,10,11,12,1,36,57,60,24,15,6
LOC26528035,0,0,7,0,0,0,0,0,0,1,0,0,0,0,1
LOC26528039,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0
LOC26528040,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
LOC26528043,3,11,19,0,5,4,4,7,11,3,5,2,1,2,0
LOC26528050,0,1,0,17,36,17,4,0,0,1,3,2,0,0,0
LOC26528056,2746,4140,26932,4503,17210,6017,8264,21782,13616,3843,9162,8402,6870,12080,6670
LOC26528062,226,176,1218,212,464,154,114,241,158,471,1051,615,246,399,193
LOC26528066,104,98,564,235,523,228,208,490,306,116,375,185,167,229,158
LOC26528067,91,68,416,205,429,143,72,131,88,74,244,92,29,37,24
LOC26528068,13,12,73,106,144,50,94,235,182,45,75,67,84,98,59
LOC26528070,5,8,0,9,17,0,8,8,10,0,0,0,0,0,5
LOC26528073,4,1,51,0,0,0,3,7,0,0,0,0,0,6,0
LOC26528079,8,6,109,103,150,87,8,1,7,691,1812,1014,633,974,601
LOC26528085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC26528086,0,0,5,0,0,0,0,0,0,0,0,0,0,2,0
LOC26528089,0,0,16,0,0,0,4,0,0,0,1,0,0,0,0
LOC26528093,5,2,0,0,4,0,0,0,2,0,0,0,0,0,0
LOC26528095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC26528096,14025,12313,79519,9054,22715,7599,12520,30066,18644,7486,16066,14826,16597,27614,15698
LOC26528099,1,0,0,4,0,6,1,5,2,8,17,1,0,0,0
LOC26528102,124,96,678,128,264,113,94,332,234,70,202,195,101,156,99
LOC26528103,1317,951,6070,1568,3319,1020,1593,3152,1830,876,2379,1507,740,1092,575
LOC26528105,258,187,1087,470,740,176,160,336,161,201,433,311,98,142,103
LOC26528107,1,2,37,0,35,4,22,15,13,0,1,1,11,3,0
LOC26528108,257,242,1462,316,648,310,628,1669,958,199,773,383,34,89,26
LOC26528109,0,0,2,68,94,13,9,4,14,9,17,3,7,11,2
LOC26528110,9,2,16,125,293,137,21,61,25,31,95,35,2,16,9
LOC26528112,0,0,0,0,0,5,2,0,0,3,0,0,0,0,2
LOC26528115,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
LOC26528116,9,14,112,36,61,18,20,34,15,16,9,1,4,34,5
LOC26528123,2,0,5,0,1,0,6,0,0,2,0,3,3,6,0
LOC26528124,593,531,3573,678,2028,698,735,1912,1075,455,1445,768,757,1259,657
LOC26528125,4,0,14,16,38,18,36,84,55,8,38,22,14,13,14
LOC26528129,96,66,440,74,117,37,6,11,2,27,75,35,25,46,23
LOC26528130,4224,3431,21127,134,272,69,12,15,17,83,199,168,24,48,14
LOC26528132,0,0,4,0,0,0,0,3,0,0,3,0,0,0,0
LOC26528134,3,7,19,1,6,11,3,17,3,0,7,2,0,6,1
LOC26528135,0,0,23,0,6,4,1,0,0,0,0,0,8,3,0
LOC26528142,0,0,0,0,6,0,0,5,0,0,0,0,0,2,5
LOC26528143,535,323,2331,827,1380,506,838,1658,925,597,1500,792,552,607,394
LOC26528144,3,5,37,44,82,29,0,23,8,20,48,25,4,7,4
LOC26528146,8,2,13,6,10,2,0,0,1,10,25,13,0,1,1
LOC26528148,0,2,10,0,8,0,0,0,0,0,0,0,0,0,0
LOC26528149,97,91,306,120,254,71,118,205,93,84,229,112,136,171,98
LOC26528154,0,0,8,21,7,8,52,97,81,0,7,4,23,65,35
LOC26528155,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
LOC26528156,10,7,10,79,120,49,12,28,28,26,47,39,0,41,37
LOC26528159,0,3,0,6,10,8,7,21,8,9,23,14,0,4,0
LOC26528161,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC26528164,9,13,53,53,49,19,5,48,17,10,17,17,6,56,19
LOC26528166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC26528168,1,1,37,4,22,0,8,0,5,0,5,4,0,5,0
LOC26528173,0,0,0,7,0,0,0,0,0,0,0,0,16,23,25
LOC26528179,526,237,1460,641,1725,584,337,727,477,177,441,390,344,768,323
LOC26528180,49,67,424,90,305,106,61,127,116,86,271,137,10,29,25
LOC26528187,6,8,54,0,0,0,0,0,2,1,6,0,1,1,0
LOC26528190,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0
LOC26528194,1777,1703,9934,3001,7644,2346,2270,5289,3127,1804,5314,2968,1341,2113,1066
LOC26528195,0,0,0,0,0,0,1,0,3,0,0,0,1,6,0
LOC26528196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC26528197,158,74,703,130,243,66,215,518,276,72,194,152,114,133,89
LOC26528198,28,24,95,51,124,38,9,49,9,20,58,26,19,42,16
LOC26528202,8,6,5,6,10,4,5,0,5,0,0,0,2,5,4
LOC26528203,504,467,2037,318,1095,311,363,939,431,324,707,494,312,459,253
LOC26528206,2,2,5,1,18,0,10,17,15,2,14,3,5,4,0
LOC26528208,2,4,0,0,0,0,11,19,8,0,6,3,4,0,1
LOC26528211,296,223,1367,329,689,287,245,460,361,252,514,310,110,176,95
LOC26528213,2066,1512,9845,1592,2885,987,1273,2721,1573,2224,5419,3826,425,609,378
LOC26528214,5,0,17,3,5,8,7,5,1,3,15,1,5,4,1
LOC26528216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC26528219,274,231,1512,192,632,199,141,517,266,153,522,440,46,152,91
LOC26528220,898,763,4705,1636,3722,1170,582,1453,933,552,1459,1024,584,736,471
LOC26528222,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
LOC26528226,1,1,4,12,29,9,4,0,4,4,8,1,5,4,1
LOC26528230,13,13,63,47,52,44,27,40,24,54,134,60,15,47,25
LOC26528231,0,0,21,0,0,0,13,22,5,0,0,1,0,0,0
LOC26528232,1186,890,6471,1622,4064,1523,938,2722,1514,1092,2817,1868,1124,1774,948
LOC26528233,91,81,402,130,175,62,84,227,137,54,148,93,103,87,70
LOC26528234,210,186,1195,332,1210,460,210,517,342,188,365,397,257,547,269
LOC26528235,14,5,78,2,19,3,3,9,14,5,7,5,12,1,0
LOC26528236,732,514,3598,247,567,213,209,434,257,138,402,357,222,376,176
LOC26528237,26,15,97,7,19,2,3,20,0,16,24,12,8,14,1
LOC26528239,32,25,167,86,144,59,34,30,52,41,77,53,59,74,39
LOC26528241,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
LOC26528242,6,7,50,10,33,7,11,5,14,0,14,6,0,8,4
LOC26528244,6,10,72,19,49,17,6,38,23,5,21,6,0,2,7
LOC26528248,17,24,153,51,68,21,40,62,36,11,12,12,15,28,21
LOC26528252,3,4,7,0,11,0,2,14,3,1,0,0,0,0,0
LOC26528255,120,113,631,189,636,209,92,282,169,136,306,228,144,249,169
LOC26528256,0,0,0,0,10,4,0,2,0,0,2,0,0,0,0
LOC26528257,0,0,7,0,7,0,0,0,0,2,2,0,0,0,0
LOC26528258,47,48,350,66,126,25,70,151,44,52,202,86,30,38,9
LOC26528260,512,257,2006,0,20,4,3,21,13,1,7,0,0,4,2
LOC26528262,180,137,997,182,222,115,323,339,214,258,458,314,40,95,41
LOC26528268,3,1,15,0,17,6,4,5,0,2,2,1,0,7,5
LOC26528271,251,161,1073,269,512,225,123,264,158,158,384,250,126,159,101
LOC26528272,112,99,330,55,85,28,125,150,129,153,224,177,5,20,6
LOC26528273,12,20,89,26,63,12,17,49,17,5,23,22,9,23,14
LOC26528278,83,74,421,79,176,37,57,98,17,24,78,52,18,37,18
LOC26528280,3,1,2,29,68,14,11,18,3,20,69,46,14,43,7
LOC26528281,10,5,26,3,1,2,0,0,7,0,5,0,0,0,0
LOC26528282,0,0,0,0,5,0,0,0,0,0,0,0,0,2,0
LOC26528286,90,43,217,122,122,31,65,152,62,91,94,70,14,29,14
LOC26528290,2034,1278,7879,3730,6463,2208,2324,3852,2233,1424,2387,2435,1931,2773,1443
LOC26528291,163,168,1067,3739,5649,1878,122,263,148,248,387,371,3,1,1
LOC26528293,0,0,0,0,0,0,2,3,0,0,0,0,0,3,0
LOC26528295,14,15,14,21,100,41,4,8,3,1,4,16,11,16,5
LOC26528299,1990,1035,6396,3111,3673,1272,1973,2515,1509,3659,5595,4226,2323,2444,1545
LOC26528301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC26528308,2219,1990,11164,5832,15232,4942,2820,7503,4038,3850,11953,7137,2315,4433,2025
LOC26528309,15,1,29,2,7,0,5,15,6,10,13,8,7,8,0
LOC26528310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC26528311,3,6,27,8,39,7,7,5,6,24,101,53,12,21,14
LOC26528313,142,126,981,215,797,180,429,1312,740,875,2078,2030,110,208,134
