,dbuz_larv_rep1,dbuz_larv_rep2,dbuz_larv_rep3,dkoep_larv_rep1,dkoep_larv_rep2,dkoep_larv_rep3
LOC116804902,130,81,150,201,300,144
LOC116804906,4,7,8,37,43,16
LOC116804909,789,692,730,1099,1683,787
LOC116804910,469,369,385,786,1165,586
LOC122756692,1156,925,1028,1731,2230,1048
LOC122756693,849,677,907,1047,1573,763
LOC122756694,1181,930,1231,836,1341,540
LOC122756695,3,5,6,12,15,4
LOC122756696,1061,805,879,1793,2717,999
LOC122756697,49,36,59,32,40,28
LOC122756699,2,1,3,2,2,0
LOC122756701,0,0,0,1,0,0
LOC122756702,97,77,99,139,204,90
LOC122756707,4083,3071,4091,4722,7269,2817
LOC122756709,1158,828,960,2026,3182,1366
LOC122756711,85,54,55,291,357,256
LOC122756716,4,7,5,33,40,19
LOC122756717,9,4,5,43,48,29
LOC122756722,40,24,41,52,55,25
LOC122756728,1,3,0,1,0,0
LOC122756760,23,18,16,137,200,91
LOC122756763,56,49,47,115,201,75
LOC122756764,0,0,0,0,0,0
LOC122756765,0,0,0,0,0,0
LOC122756766,477,396,428,785,1032,399
LOC122756768,9,5,5,14,20,20
LOC122756770,16,14,16,40,42,23
LOC122756777,0,0,1,16,22,9
LOC122756778,0,0,0,3,2,0
LOC122756781,0,1,0,0,2,0
LOC122756784,3,3,4,6,16,8
LOC122756787,114,99,104,351,523,156
LOC122756789,0,0,0,0,0,0
LOC122756790,13,10,21,165,240,92
LOC122756794,207,234,184,861,1254,697
LOC122756796,6,7,12,19,42,14
LOC122756797,1,1,0,0,0,0
LOC122756798,0,0,0,0,0,0
LOC122756802,7,3,1,9,24,16
LOC122756805,0,0,0,0,0,0
LOC122756808,0,0,0,12,10,3
LOC122756809,18,15,21,18,32,19
LOC122756811,9,13,25,31,33,13
LOC122756812,14,4,12,26,40,17
LOC122756816,0,0,0,2,2,1
LOC122756821,59,78,80,127,165,98
LOC122756822,15,3,6,2,9,0
LOC122756823,18,9,26,6,19,5
LOC122756826,63,43,48,75,128,55
LOC122756827,0,0,0,0,0,0
LOC122756828,0,0,0,1,1,1
LOC122756830,121,102,107,114,145,78
LOC122756832,27,11,13,59,85,46
LOC122756841,2,10,1,1,1,0
LOC122756844,24,21,15,162,223,107
LOC122756845,73,75,56,600,777,361
LOC122756848,0,1,0,6,19,4
LOC122756851,1,3,1,0,0,0
LOC122756859,5,8,7,46,44,31
LOC122756867,30,37,23,114,132,88
LOC122756868,10,8,12,3,3,1
LOC122756882,0,0,0,0,0,0
LOC122756883,3,2,1,1,3,5
LOC122756888,0,1,0,10,10,3
LOC122756893,0,0,0,6,7,2
LOC122756894,0,0,0,0,3,0
LOC122756895,0,0,0,1,0,0
LOC122756900,3,0,1,7,27,8
LOC122756903,2,2,10,6,10,3
LOC122756908,0,0,2,0,0,0
LOC122756909,6,6,2,5,2,2
LOC122756911,0,3,2,3,8,2
LOC122756917,0,0,0,0,0,0
LOC122756927,0,0,0,0,0,0
LOC122756937,0,0,0,0,0,0
LOC122756945,0,0,0,0,0,0
LOC122756948,0,0,0,0,0,0
LOC122756952,0,0,0,0,0,0
LOC122756955,7101,4640,7063,5173,7334,3313
LOC122756960,1,0,0,0,0,0
LOC122756963,75504,47770,76068,140676,233510,73570
LOC122756969,0,0,0,0,0,0
LOC122756972,6,0,0,12,17,4
LOC122756975,25,28,22,242,433,150
LOC122756984,0,0,0,0,0,0
LOC122756987,0,0,0,0,0,0
LOC122756988,1,0,0,62,88,19
LOC122756989,2,0,6,0,0,0
LOC122756990,0,0,0,0,0,0
LOC122756991,4,6,2,4,5,4
LOC122756994,96,87,102,20,32,18
LOC122756995,0,7,9,29,66,21
LOC122756997,0,0,0,2,0,0
LOC122757000,1,0,1,0,2,0
LOC122757001,479,290,413,162,307,111
LOC122757002,0,0,0,0,0,0
LOC122757003,0,0,0,0,1,2
LOC122757005,15,8,9,58,99,30
LOC122757007,2,0,0,0,4,0
LOC122757009,49,53,38,192,324,140
LOC122757011,1,1,1,0,0,1
LOC122757018,20279,15972,18285,13781,21831,11908
LOC122757020,156,127,144,1,2,0
LOC122757025,0,0,0,1,1,0
LOC122757026,12,13,14,70,75,44
LOC122757030,38,34,24,111,204,101
LOC122757031,137,138,105,873,1260,771
LOC122757032,15,11,22,13,29,12
LOC122757033,992,477,896,6308,10251,3145
LOC122757038,3682,3064,3917,6316,9722,4546
LOC122757041,312,216,261,235,262,58
LOC122757051,6,4,2,9,19,5
LOC122757052,0,0,0,0,1,0
LOC122757053,0,2,0,1,6,1
LOC122757054,98,75,94,101,192,120
LOC122757055,6,6,3,9,10,10
LOC122757059,139,131,163,199,298,147
LOC122757069,14,11,10,28,66,27
LOC122757094,193,190,188,621,809,397
LOC122757095,6,5,1,0,0,0
LOC122757102,38,42,21,4,5,0
LOC122757115,3,0,3,0,0,0
LOC122757124,0,0,0,0,0,0
LOC122757136,2,2,1,0,0,0
LOC122757140,0,0,0,0,0,0
LOC122757143,0,0,0,21,42,14
LOC122757150,910,956,1007,2586,3525,2218
LOC122757152,32,30,35,105,170,111
LOC122757154,0,0,0,0,0,0
LOC122757155,442,329,446,473,659,231
LOC122757160,14,9,5,32,38,21
LOC122757161,0,0,0,0,0,0
LOC122757162,5,7,18,26,46,14
LOC122757163,0,0,0,0,1,0
LOC122757164,62,59,68,414,537,352
LOC122757165,14,16,16,39,52,25
LOC122757170,818,605,991,1424,2050,934
LOC122757173,2,0,0,0,0,0
LOC122757179,4489,3795,3795,1430,1875,698
LOC122757194,1,5,4,5,14,3
LOC122757202,8,6,18,8,18,16
LOC122757203,10,22,13,36,66,37
LOC122757204,0,0,0,1,1,0
LOC122757207,0,0,1,12,14,5
LOC122757211,4,0,0,17,37,28
LOC122757221,5,4,2,14,33,12
LOC122757222,1,1,0,0,0,1
LOC122757230,8,2,5,14,24,10
LOC122757231,5,15,8,15,22,12
LOC122757236,0,0,1,0,0,0
LOC122757239,2,2,1,21,19,22
LOC122757242,0,0,0,0,0,0
LOC122757257,0,0,0,2,0,0
LOC122757259,12,13,23,42,59,40
LOC122757261,43,29,17,10,16,7
LOC122757265,4,2,5,13,14,8
LOC122757270,10386,7965,9574,2458,3374,1198
LOC122757272,5,4,8,2,1,3
LOC122757279,44,21,27,118,136,81
LOC122757281,1,0,0,0,1,0
LOC122757287,39,27,23,59,84,72
LOC122757289,6,12,9,60,72,35
LOC122757290,0,0,0,9,3,7
LOC122757291,24,11,22,1,11,2
LOC122757292,0,0,0,0,1,0
LOC122757293,8,6,6,1,0,0
LOC122757294,11,12,3,0,2,0
LOC122757295,27,35,23,69,95,51
LOC122757298,0,0,0,0,0,0
LOC122757299,0,0,0,7,11,6
LOC122757301,204,192,178,325,529,187
LOC122757306,6,6,9,32,53,31
LOC122757307,12,15,12,35,41,20
LOC122757320,0,0,2,31,41,22
LOC122757331,2,2,0,12,11,8
LOC122757341,0,0,0,0,0,0
LOC122757347,0,0,0,0,1,0
LOC122757348,198,203,200,97,178,44
LOC122757353,1217,1059,1232,4864,6978,2520
LOC122757354,5,4,6,19,29,16
LOC122757385,4,0,0,4,5,5
LOC122757418,0,1,1,0,2,3
LOC122757434,0,1,0,0,0,0
LOC122757436,9,3,4,2,0,0
LOC122757442,0,0,0,0,0,0
LOC122757445,106,73,83,214,323,151
LOC122757450,7,11,8,10,9,9
LOC122757451,206,143,207,92,181,57
LOC122757452,5,5,3,39,40,18
LOC122757458,108,102,136,259,369,165
LOC122757460,16,12,19,12,2,6
LOC122757466,184,202,189,702,837,653
LOC122757470,789,547,764,332,516,220
LOC122757471,29,31,33,404,554,311
LOC122757476,4,8,0,0,0,1
LOC122757481,3,2,1,14,9,5
LOC122757484,6,0,3,0,0,0
LOC122757494,0,0,0,0,0,0
LOC122757496,3,3,3,4,13,4
LOC122757505,0,4,3,7,15,7
LOC122757510,0,0,0,0,0,0
LOC122757511,34,34,32,100,147,59
LOC122757514,3,1,2,10,16,10
LOC122757517,5,6,6,0,4,2
LOC122757526,70,45,48,33,43,34
LOC122757528,7,8,5,4,8,5
LOC122757530,0,0,1,0,0,0
LOC122757536,1194,909,1239,764,1366,596
LOC122757539,2,2,3,38,74,44
LOC122757544,1,0,1,0,1,0
LOC122757547,10,2,3,5,1,3
LOC122757548,0,7,5,4,7,4
LOC122757556,0,0,0,0,3,0
LOC122757558,148,123,154,158,292,153
LOC122757561,838,715,992,1849,2710,1307
LOC122757562,12,3,7,7,14,6
LOC122757563,11,9,15,8,8,8
LOC122757566,2,0,4,1,2,0
LOC122757569,105,86,81,518,739,468
LOC122757575,8,8,8,11,13,5
LOC122757576,117,124,113,481,754,408
LOC122757579,6,12,4,43,48,10
LOC122757581,0,1,0,42,56,30
LOC122757583,928,700,901,8034,12015,5838
LOC122757588,1,1,1,0,0,0
LOC122757589,12,12,10,62,87,53
LOC122757595,2,1,2,7,3,3
LOC122757597,7,8,5,16,20,19
LOC122757600,3,0,0,0,0,0
LOC122757602,296,228,264,166,243,101
LOC122757604,0,0,0,0,1,0
LOC122757605,364,266,331,289,448,188
LOC122757608,2,3,4,7,2,5
LOC122757612,25,13,29,31,54,24
LOC122757613,133,123,111,205,358,195
LOC122757615,7,5,7,10,22,13
LOC122757618,5,1,3,2,3,1
LOC122757620,69,41,44,0,0,0
LOC122757625,38,31,24,0,1,2
LOC122757626,0,0,0,0,0,0
LOC122757627,552,521,540,1245,1842,733
LOC122757628,1,7,10,9,6,6
LOC122757631,4519,3250,4181,271,379,214
LOC122757632,305,146,293,247,252,67
LOC122757633,41,42,46,227,271,177
LOC122757636,134,132,110,397,436,238
LOC122757646,8,14,6,17,29,10
LOC122757647,22,13,15,29,38,15
LOC122757656,0,1,0,2,0,1
LOC122757660,0,0,0,1,0,0
LOC122757663,0,0,0,0,0,0
LOC122757664,4,6,4,14,8,10
LOC122757668,4,7,8,14,19,16
LOC122757669,40,42,45,8,8,3
LOC122757671,5,5,1,0,0,0
LOC122757672,20,10,19,15,30,14
LOC122757674,16,14,14,12,11,12
LOC122757683,9,5,6,23,58,28
LOC122757684,356,280,320,1814,2259,473
LOC122757686,0,0,0,3,11,1
LOC122757687,0,0,0,0,1,0
LOC122757693,0,0,0,0,1,0
LOC122757697,78,96,79,561,743,480
LOC122757698,1,3,0,0,10,1
LOC122757699,0,0,0,2,2,2
LOC122757701,0,2,7,33,64,17
LOC122757709,25,32,40,180,236,125
LOC122757715,0,0,0,0,0,0
LOC122757721,445,412,392,1163,1818,851
LOC122757724,102,121,100,274,438,228
LOC122757728,6,5,4,0,0,0
LOC122757730,7,2,1,1,1,1
LOC122757732,0,0,0,14,23,5
LOC122757733,4,1,1,142,155,85
LOC122757734,1,2,3,1,1,2
LOC122757739,0,0,0,6,0,0
LOC122757742,115,100,126,318,411,229
LOC122757747,4,8,9,15,27,10
LOC122757753,24,13,24,86,121,57
LOC122757756,0,0,0,0,0,0
LOC122757757,13,32,13,154,222,150
LOC122757763,0,0,0,0,1,0
LOC122757765,117,91,99,517,680,356
LOC122757768,14,10,16,27,28,16
LOC122757781,14,15,21,0,0,0
LOC122757786,3,3,6,14,21,7
LOC122757789,0,0,0,2,0,0
LOC122757792,3,7,3,14,11,8
LOC122757795,0,0,0,0,0,1
LOC122757796,0,1,0,0,0,0
LOC122757801,0,0,0,1,1,0
LOC122757807,3,6,8,29,36,22
LOC122757818,0,1,0,0,0,0
LOC122757823,10,10,6,0,0,0
LOC122757824,1,0,0,0,0,0
LOC122757831,3,1,2,15,31,11
LOC122757838,0,1,0,2,4,0
LOC122757841,3,1,9,3,5,2
LOC122757842,6,4,4,12,27,11
LOC122757847,7,2,2,24,36,13
LOC122757851,0,0,0,0,0,0
LOC122757855,39,44,48,21,35,14
LOC122757863,13,11,20,18,15,12
LOC122757867,12,23,21,129,169,71
LOC122757869,1,0,0,9,5,6
LOC122757871,5,4,2,38,40,17
LOC122757872,7,5,3,9,16,16
LOC122757877,9,12,6,34,34,24
