,dbuz_larv_rep1,dbuz_larv_rep2,dbuz_larv_rep3,dkoep_larv_rep1,dkoep_larv_rep2,dkoep_larv_rep3
LOC6575273,60,70,56,249,385,209
LOC6575275,39,31,28,72,88,27
LOC6575276,259,180,207,83,167,47
LOC6575277,1232,942,1239,1349,2019,634
LOC6575280,0,0,1,1,1,0
LOC6575281,70,72,53,540,663,306
LOC6575283,1,0,2,0,0,0
LOC6575284,0,1,0,3,0,0
LOC6575285,0,1,0,1,0,0
LOC6575287,52,64,60,175,270,85
LOC6575289,23565,17607,22950,25440,39438,14049
LOC6575290,2235,1847,2294,2629,4355,1766
LOC6575291,131,96,116,330,506,250
LOC6575292,21,17,24,18,36,14
LOC6575293,1069,776,972,760,1373,460
LOC6575294,302,261,273,523,752,367
LOC6575295,1504,1298,1470,1521,2317,1122
LOC6575296,526,512,493,702,1133,466
LOC6575297,493,439,557,711,1248,555
LOC6575298,3954,2848,3930,2620,4337,1296
LOC6575299,1350,1145,1323,3160,4803,2204
LOC6575300,93,62,107,271,426,190
LOC6575301,302,254,294,612,901,371
LOC6575302,235,160,248,96,150,55
LOC6575303,162,107,185,58,109,31
LOC6575304,122,88,117,168,262,102
LOC6575305,44,44,61,22,33,11
LOC6575306,1,1,1,0,2,0
LOC6575308,55,80,69,492,638,271
LOC6575309,804,613,799,508,769,323
LOC6575310,2411,1849,2429,2106,3526,1519
LOC6575311,655,457,605,1029,1762,753
LOC6575312,2091,1516,2030,1660,2759,1331
LOC6575313,932,791,893,853,1339,607
LOC6575314,405,344,403,542,776,353
LOC6575315,282,216,272,230,382,149
LOC6575316,220,175,217,263,463,214
LOC6575317,178,178,181,115,169,78
LOC6575318,481,352,474,1117,1666,755
LOC6575319,3746,3029,3714,6439,10093,4364
LOC6575321,425,351,449,522,904,390
LOC6575322,853,688,726,1041,1595,645
LOC6575323,1526,1216,1653,959,1476,673
LOC6575325,91,91,100,238,384,149
LOC6575330,198,137,153,213,365,168
LOC6575336,163,148,153,497,736,294
LOC6575337,2265,1609,2041,3874,6165,2297
LOC6575338,399,339,293,1299,1586,725
LOC6575339,3169,2584,2855,4832,6833,2464
LOC6575340,369,271,359,517,875,349
LOC6575341,770,703,799,1791,2901,1490
LOC6575343,408,322,348,719,1084,494
LOC6575344,348,314,414,522,863,393
LOC6575345,2692,2011,2698,3545,5417,1843
LOC6575346,278,241,266,669,1115,565
LOC6575347,104,143,121,209,311,112
LOC6575348,41061,29928,36958,15847,24768,9366
LOC6575352,624,524,615,1803,2555,1210
LOC6575353,415,267,398,410,584,220
LOC6575354,75,48,53,277,367,127
LOC6575355,401,289,424,461,838,342
LOC6575356,1116,986,969,2309,3364,1422
LOC6575357,56,48,57,348,413,98
LOC6575359,319,241,280,940,1188,485
LOC6575360,1415,1432,1268,3825,5550,2634
LOC6575361,3,3,4,1,2,1
LOC6575362,8251,7381,7461,15194,26775,10924
LOC6575365,3162,2326,2973,128,143,54
LOC6575366,733,442,706,649,820,266
LOC6575368,1019,777,952,1136,1965,755
LOC6575369,1910,1568,1726,2320,3743,1552
LOC6575370,257,224,263,296,487,186
LOC6575371,4911,3811,5045,4251,6870,2953
LOC6575372,403,313,367,485,843,383
LOC6575375,50,42,68,69,94,64
LOC6575381,96,56,95,33,72,29
LOC6575383,140,126,126,21,51,17
LOC6575386,3,4,5,0,0,1
LOC6575387,4,1,8,1,1,0
LOC6575388,464,389,582,653,795,348
LOC6575392,0,0,3,0,2,0
LOC6575394,1210,1137,1041,5605,7410,3063
LOC6575395,465,391,391,956,1363,567
LOC6575397,381,316,422,93,162,68
LOC6575398,151,107,151,100,170,83
LOC6575399,68,45,64,73,108,43
LOC6575400,739,578,729,800,1444,653
LOC6575402,242,147,209,381,527,263
LOC6575408,153,113,167,365,509,236
LOC6575409,5,5,7,4,10,3
LOC6575410,56,41,31,82,108,55
LOC6575413,275,271,269,539,821,410
LOC6575415,754,577,689,959,1466,684
LOC6575416,2065,1624,1969,3123,4506,2197
LOC6575417,1816,1664,1611,5269,8211,4440
LOC6575418,146,103,154,417,628,238
LOC6575419,4394,3686,4410,6034,10828,3868
LOC6575420,157,118,140,54,113,39
LOC6575421,1152,821,1135,1514,2395,959
LOC6575422,86,89,90,355,502,189
LOC6575424,11680,8336,10977,4617,7170,2323
LOC6575425,526,377,509,234,374,174
LOC6575426,2895,2239,2866,3470,6137,2641
LOC6575427,6828,5298,6811,10084,17178,6732
LOC6575429,475,448,425,931,1238,482
LOC6575430,870,687,738,1096,1785,720
LOC6575431,376,367,379,572,945,348
LOC6575432,687,486,668,732,1116,475
LOC6575433,355,269,399,323,581,175
LOC6575434,536,394,535,677,1202,588
LOC6575435,1833,1630,1643,2090,3371,1349
LOC6575437,158,128,119,338,486,212
LOC6575438,796,634,625,1265,1913,749
LOC6575439,1541,1214,1645,2635,4325,2046
LOC6575440,1113,882,1087,2165,3378,1388
LOC6575441,229,199,196,294,489,220
LOC6575442,473,375,443,818,1239,671
LOC6575443,397,338,328,801,1141,573
LOC6575444,807,634,752,848,1329,582
LOC6575445,1812,1501,1841,3590,5906,2550
LOC6575446,5417,4120,5396,10962,17501,7482
LOC6575448,5990,4607,5919,4153,6826,2292
LOC6575449,381,326,428,500,877,429
LOC6575450,3123,2345,2934,4838,7530,2833
LOC6575451,1228,985,1332,914,1391,548
LOC6575452,311,285,274,963,1561,613
LOC6575453,267,237,253,684,1073,437
LOC6575454,97,76,88,263,439,148
LOC6575455,22,22,25,49,63,30
LOC6575456,22978,16419,19955,5999,9454,4458
LOC6575457,15494,11583,15539,6130,9893,3492
LOC6575458,63,56,50,131,206,97
LOC6575460,4719,3552,4226,3539,3361,917
LOC6575461,8787,5054,7660,14926,19703,9304
LOC6575462,1024,871,894,2056,2728,913
LOC6575463,2126,1628,1907,3143,4892,2168
LOC6575464,112,114,104,147,227,68
LOC6575465,900,754,752,1642,2736,1134
LOC6575466,414,342,448,574,835,477
LOC6575472,3,7,3,8,6,3
LOC6575473,115,84,116,143,239,99
LOC6575474,608,486,619,1126,1788,777
LOC6575475,11,12,13,47,49,16
LOC6575476,5,1,6,9,9,4
LOC6575477,3904,3303,3606,6734,11062,4714
LOC6575478,29,31,41,31,41,12
LOC6575495,2702,2488,2501,4756,7450,3218
LOC6575496,52,55,66,44,67,31
LOC6575497,6,7,4,6,5,5
LOC6575498,207,153,230,337,594,254
LOC6575499,3313,2570,3425,5171,7934,3996
LOC6575500,471,374,493,556,913,399
LOC6575501,802,581,854,1491,2164,1068
LOC6575502,4757,3509,4703,15260,23129,10834
LOC6575504,59,58,52,469,738,290
LOC6575505,389,270,364,157,305,125
LOC6575506,33336,25063,32267,36077,60632,25740
LOC6575507,657,609,612,1462,2106,893
LOC6575508,131,98,177,243,417,147
LOC6575509,1139,941,1208,1868,2951,1274
LOC6575510,283,218,298,501,805,344
LOC6575511,2399,1957,2174,3632,5507,2404
LOC6575512,1755,1324,1619,1828,3080,1330
LOC6575514,596,414,614,874,1433,553
LOC6575515,701,613,752,1194,1827,807
LOC6575516,16075,13019,14822,64058,112202,43551
LOC6575517,561,491,601,609,962,422
LOC6575518,477,321,520,78,143,65
LOC6575519,7,10,11,5,8,2
LOC6575520,3,1,2,1,0,0
LOC6575521,6,7,10,1,12,5
LOC6575522,10,19,13,0,4,1
LOC6575524,1490,1136,1513,9106,15231,6101
LOC6575525,557,379,570,366,586,278
LOC6575528,68,58,80,70,149,39
LOC6575530,463,318,463,927,1484,625
LOC6575531,2352,1827,2171,4036,6273,3048
LOC6575532,2591,2196,2522,5043,7756,3473
LOC6575533,4431,3240,4420,1183,1948,766
LOC6575534,373,319,330,432,727,328
LOC6575538,1284,1037,1260,2008,3136,1673
LOC6575539,486,438,621,503,671,355
LOC6575543,241,197,281,358,611,306
LOC6575544,1518,1090,1593,1104,1746,808
LOC6575545,4691,3871,4839,8192,12351,5972
LOC6575547,1007,916,1060,1978,3065,1481
LOC6575548,2577,2155,2439,3290,5128,2341
LOC6575549,1042,830,1097,823,1248,595
LOC6575550,6040,4623,5958,5572,9204,4121
LOC6575551,2293,1802,2255,5526,8801,3987
LOC6575552,8581,6930,8794,13095,21386,9486
LOC6575553,23077,17830,22070,39137,66943,27458
LOC6575554,7,17,13,29,50,25
LOC6575555,644,542,691,267,413,217
LOC6575556,231,177,269,53,95,48
LOC6575557,547,423,495,584,935,357
LOC6575558,181,130,157,186,250,110
LOC6575560,3129,2895,3185,7237,11309,5385
LOC6575561,2033,1713,1880,2771,4721,1935
LOC6575562,2620,2065,2565,3903,6706,2565
LOC6575563,33053,25280,32982,28815,46601,21139
LOC6575567,138,125,109,166,247,94
LOC6575568,7280,6042,7402,2376,3822,1672
LOC6575570,1647,1200,1600,517,843,395
LOC6575571,1843,1515,1705,963,1638,704
LOC6575572,102,79,75,251,315,124
LOC6575574,97,60,88,186,278,87
LOC6575575,142,105,139,145,225,83
LOC6575577,757,716,677,1731,2464,1068
LOC6575578,998,734,878,795,1223,414
LOC6575579,308,268,270,522,695,309
LOC6575580,182,130,162,262,323,121
LOC6575581,474,334,448,680,1022,411
LOC6575582,398,338,411,155,217,101
LOC6575583,329,235,355,1118,1689,712
LOC6575585,3811,3035,3475,3392,5402,2291
LOC6575587,230,185,210,296,441,191
LOC6575588,15,10,16,34,56,15
LOC6575593,4,6,8,1,0,1
LOC6575594,341,346,313,1568,1908,805
LOC6575600,1814,1184,1737,1606,2528,778
LOC6575601,382,260,406,358,533,287
LOC6575602,134,137,130,28,52,34
LOC6575604,2463,1957,2177,3699,5742,2433
LOC6575605,244,193,183,210,294,100
LOC6575606,176,124,165,401,677,281
LOC6575607,708,510,714,1290,2194,801
LOC6575608,397,329,487,323,515,222
LOC6575610,201,172,237,279,448,169
LOC6575612,568,401,527,232,338,110
LOC6575615,514,438,655,164,337,122
LOC6575616,1651,1499,1505,7362,11884,5222
LOC6575619,921,834,777,1993,2812,1334
LOC6575621,143,117,138,327,540,235
LOC6575622,427,300,414,555,717,352
LOC6575623,695,481,692,1008,1312,488
LOC6575625,688,586,628,1232,1984,861
LOC6575626,1409,992,1275,627,911,263
LOC6575627,590,555,462,1550,2318,1240
LOC6575630,20,15,17,81,130,58
LOC6575632,519,396,594,734,1141,297
LOC6575633,402,325,324,825,968,347
LOC6575634,111,89,147,157,271,123
LOC6575635,256,215,268,427,541,243
LOC6575636,375,329,411,266,444,198
LOC6575637,1062,862,1025,1898,2574,1261
LOC6575638,4420,3408,4301,4277,6182,2696
LOC6575640,235,189,254,20,15,6
LOC6575641,257,216,250,1130,1836,736
LOC6575642,662,480,591,554,947,336
LOC6575643,408,362,456,609,989,476
LOC6575644,6396,4919,6138,18127,26040,11341
LOC6575645,356,300,385,570,834,418
LOC6575649,7456,5770,7734,8107,12814,5256
LOC6575650,45,30,38,347,445,196
LOC6575651,4,2,4,26,45,11
LOC6575652,549,394,500,959,1331,510
LOC6575653,900,806,635,2567,3556,1662
LOC6575655,1636,1375,1576,1714,2697,990
LOC6575656,1045,974,1071,1548,2458,901
LOC6575657,280,203,275,279,510,261
LOC6575658,1597,1254,1584,1257,2144,836
LOC6575659,135,117,107,370,573,330
LOC6575660,1064,775,1001,1482,2335,921
LOC6575661,519,404,536,597,928,384
LOC6575662,240,184,268,395,587,237
LOC6575663,1552,1231,1764,2850,4383,1874
LOC6575664,1890,1559,1661,1511,2392,969
LOC6575665,2959,2479,2314,2546,4019,1662
LOC6575666,42,38,43,228,392,164
LOC6575667,516,424,480,535,840,326
LOC6575668,1045,720,1004,1417,2455,1107
LOC6575669,219,155,214,381,662,287
LOC6575670,3414,2619,3230,3217,5188,2321
LOC6575673,6206,4883,6158,7584,13046,5018
LOC6575674,486,368,459,627,963,387
LOC6575676,3429,2715,3479,4577,7519,3613
LOC6575677,6049,4777,6025,9568,16930,5830
LOC6575678,455,332,374,1105,1386,591
LOC6575679,2528,2175,2357,3609,5586,2705
LOC6575680,9338,6189,10262,14004,17089,3790
LOC6575681,1035,736,997,3599,4482,1552
LOC6575685,151,99,112,114,132,41
LOC6575687,47,41,52,64,151,56
LOC6575689,472,389,449,761,1039,458
LOC6575690,790,586,647,1624,2517,835
LOC6575696,129,120,94,504,651,314
LOC6575698,272,184,218,350,504,243
LOC6575699,1460,1226,1331,6,6,2
LOC6575700,51,37,52,277,359,110
LOC6575701,83,57,66,517,691,300
LOC6575704,577,513,488,351,559,226
LOC6575706,158,128,167,65,128,47
LOC6575707,936,733,927,911,1397,625
LOC6575708,1640,1392,1779,1885,3004,1244
LOC6575709,14,18,22,28,54,16
LOC6575710,1146,1048,1124,2018,3053,1370
LOC6575712,1802,1249,1843,2527,4162,1437
LOC6575713,285,225,281,581,739,279
LOC6575714,355,292,401,564,809,440
LOC6575715,201,142,166,142,252,93
LOC6575716,250,250,199,1110,1606,717
LOC6575717,760,626,779,867,1468,603
LOC6575718,294,252,293,269,453,151
LOC6575719,912,713,902,1190,2036,939
LOC6575721,1419,1023,1262,3322,5061,2440
LOC6575722,771,513,685,1045,1568,713
LOC6575723,302,208,301,487,773,331
LOC6575724,750,658,829,1070,1704,810
LOC6575725,232,172,274,248,352,153
LOC6575726,458,292,418,243,359,125
LOC6575727,232,169,238,83,166,53
LOC6575728,2107,1650,2195,2524,4453,1807
LOC6575729,879,625,840,877,1463,670
LOC6575730,1247,1072,1330,1235,2322,736
LOC6575731,620,495,608,964,1247,656
LOC6575732,10499,7763,10600,6577,11849,4440
LOC6575733,624,411,634,829,1231,712
LOC6575734,232,174,212,269,433,187
LOC6575735,274,195,259,377,538,230
LOC6575736,189,192,168,354,638,272
LOC6575738,6405,4924,6271,34452,48370,20147
LOC6575739,1094,987,1024,2834,4673,1919
LOC6575740,743,605,559,2072,2638,1115
LOC6575741,259,236,218,745,1054,512
LOC6575743,7606,6093,7376,6267,11158,4288
LOC6575744,28,19,20,93,161,76
LOC6575745,172,159,175,104,157,68
LOC6575746,278,236,255,513,873,358
LOC6575747,333,273,283,423,790,269
LOC6575752,264,241,228,214,255,107
LOC6575753,10,5,4,41,33,12
LOC6575755,1768,1389,1650,1366,2142,779
LOC6575756,5355,4011,5435,10936,18017,6806
LOC6575757,1938,1706,1601,5013,7690,3264
LOC6575762,1,2,1,0,1,1
LOC6575763,1111,802,1038,1232,2056,809
LOC6575765,1191,1056,1122,3828,6040,2676
LOC6575766,121,79,112,157,264,135
LOC6575767,1052,696,982,966,1416,418
LOC6575769,408,325,480,369,541,259
LOC6575770,1826,2195,1719,6226,8995,3957
LOC6575771,463,419,502,450,608,279
LOC6575772,67,41,71,79,148,63
LOC6575773,1641,1259,1525,2658,4457,1697
LOC6575774,1314,1639,1152,7458,10287,4458
LOC6575775,421,295,410,201,346,130
LOC6575777,107,103,137,325,451,222
LOC6575779,882,664,792,1684,2914,1263
LOC6575780,41,34,48,119,152,73
LOC6575781,2632,1966,2538,1087,1872,740
LOC6575783,344,278,358,636,906,500
LOC6575784,511,496,537,1015,1513,744
LOC6575785,745,586,673,843,1431,591
LOC6575786,1896,1492,2017,2147,3629,1443
LOC6575787,133,111,108,30,59,20
LOC6575788,134,110,148,181,262,117
LOC6575789,802,501,707,1325,2025,887
LOC6575790,2827,2311,2668,7761,11898,5355
LOC6575791,593,513,622,1300,1961,973
LOC6575792,3488,3030,3763,2449,3826,1951
LOC6575793,11513,8620,11266,10418,15340,6834
LOC6575795,947,689,1084,866,1420,484
LOC6575797,146,169,145,1009,1280,557
LOC6575798,213,167,249,348,558,203
LOC6575799,661,501,692,296,517,182
LOC6575800,704,586,681,1597,2243,868
LOC6575803,99,72,63,260,340,132
LOC6575804,161,120,175,11,35,8
LOC6575805,5464,4817,5159,12805,20013,8813
LOC6575806,6526,4918,6719,9631,16302,5793
LOC6575807,450,338,444,503,697,240
LOC6575808,373,406,349,919,1563,628
LOC6575809,53,44,68,308,445,225
LOC6575810,602,405,591,780,1290,447
LOC6575811,1189,1051,1287,3883,5380,2461
LOC6575812,1127,839,1077,1154,2063,784
LOC6575813,39,37,40,54,73,36
LOC6575814,70613,64223,59098,48099,74239,26225
LOC6575815,4177,3150,3987,6909,11892,5021
LOC6575818,28,31,31,21,69,21
LOC6575819,1648,1160,1579,718,1181,519
LOC6575820,1826,1303,1813,3893,6221,2756
LOC6575821,22,17,18,11,23,7
LOC6575823,51,53,47,55,93,40
LOC6575824,816,651,781,412,760,313
LOC6575825,689,479,726,296,555,212
LOC6575826,802,643,912,1218,2113,852
LOC6575827,4154,2929,4189,3464,5696,2801
LOC6575829,616,469,527,226,383,158
LOC6575830,884,722,839,1362,2300,904
LOC6575832,8,10,11,217,360,175
LOC6575833,209,146,189,48,98,24
LOC6575834,22,7,12,2,7,3
LOC6575836,2156,1742,2152,1941,3317,1558
LOC6575837,419,356,435,854,1349,620
LOC6575838,141,105,98,123,149,73
LOC6575839,646,543,635,1104,1734,739
LOC6575840,33,22,33,45,62,16
LOC6575842,471,393,468,687,1074,375
LOC6575843,1411,1238,1385,2633,3991,1859
LOC6575844,556,490,495,1255,1816,785
LOC6575845,1254,1003,1027,1666,2504,1184
LOC6575846,332,259,306,310,495,163
LOC6575847,48,35,37,50,79,34
LOC6575848,3126,2617,3241,3062,5453,2562
LOC6575849,925,658,846,1466,2296,893
LOC6575850,6,3,9,27,53,32
LOC6575851,2,10,0,8,13,9
LOC6575852,1094,879,1030,1717,2755,1242
LOC6575853,86,68,92,97,140,58
LOC6575854,745,560,744,1708,2641,1308
LOC6575855,5,11,3,37,63,26
LOC6575856,499,360,512,997,1564,636
LOC6575857,1835,1546,1740,3585,5335,2534
LOC6575858,1430,1040,1473,2221,3338,1655
LOC6575859,937,673,860,1233,2106,878
LOC6575860,1420,1396,1346,3176,5001,2521
LOC6575861,435,334,411,516,910,323
LOC6575862,361,282,395,448,694,257
LOC6575865,5669,4801,5176,4735,8643,3101
LOC6575866,8360,6892,7312,19173,29119,11169
LOC6575868,215,168,171,381,601,246
LOC6575869,142,88,153,527,708,339
LOC6575870,1339,1141,1564,2031,3343,1541
LOC6575871,2073,1764,2008,5242,7638,3587
LOC6575873,166,181,179,491,605,262
LOC6575874,3116,2129,2862,1227,1985,778
LOC6575875,1657,1158,1682,1490,1466,429
LOC6575877,1032,755,964,1329,2234,855
LOC6575878,478,474,426,1047,1484,612
LOC6575879,3718,2892,3689,1206,2234,813
LOC6575880,2,0,0,0,0,0
LOC6575881,0,0,0,0,0,0
LOC6575884,36330,28616,35480,10089,17782,6576
LOC6575885,1,0,1,3,0,0
LOC6575887,731,656,677,1969,2755,1059
LOC6575892,827,596,820,595,890,390
LOC6575893,7,6,5,3,13,3
LOC6575896,186,174,130,566,867,349
LOC6575897,767,525,675,657,867,251
LOC6575899,88,65,86,30,38,17
LOC6575900,1845,1535,1771,2957,4833,2223
LOC6575901,225,161,206,212,393,137
LOC6575902,943,838,857,1612,2369,929
LOC6575903,264,198,246,713,1031,527
LOC6575904,61,68,86,125,220,83
LOC6575905,113,100,149,437,613,292
LOC6575906,136,113,136,200,352,147
LOC6575907,2581,2041,2429,3317,5641,2234
LOC6575908,598,544,573,265,371,173
LOC6575909,489,373,506,635,989,429
LOC6575910,98,113,175,259,437,185
LOC6575911,1027,885,891,1497,2564,1086
LOC6575912,588,508,508,1173,1855,884
LOC6575913,528,450,578,670,956,476
LOC6575914,177,151,152,168,284,142
LOC6575915,317,227,311,269,465,181
LOC6575916,1185,863,1256,2424,3859,1668
LOC6575917,485,431,562,943,1417,683
LOC6575919,679,478,584,444,741,249
LOC6575920,170,156,189,367,561,276
LOC6575921,10,16,10,13,16,5
LOC6575922,459,365,357,228,327,205
LOC6575923,1316,1151,1220,1519,2389,1082
LOC6575924,3524,3009,3555,4916,8176,3488
LOC6575925,2342,2075,2369,5146,7846,3572
LOC6575927,4013,3376,4334,4553,7492,2949
LOC6575928,1005,850,1130,1826,2780,1180
LOC6575930,246,201,234,193,375,139
LOC6575931,173,121,167,147,226,90
LOC6575932,295,206,270,93,171,67
LOC6575933,42,49,49,125,214,82
LOC6575934,6050,4741,5839,4850,8508,3383
LOC6575935,60,50,51,108,196,71
LOC6575937,139,101,107,21,29,11
LOC6575941,474,372,531,198,305,135
LOC6575947,1592,1586,1564,5754,8136,3998
LOC6575950,1135,847,1080,1702,2383,838
LOC6575952,782,606,801,2154,3403,1576
LOC6575953,3662,3115,3498,8132,12287,5582
LOC6575954,900,715,791,1886,2698,1150
LOC6575956,435,334,387,450,652,278
LOC6575957,249,155,271,285,408,139
LOC6575958,162,118,145,180,282,112
LOC6575959,46,36,48,28,25,16
LOC6575960,405,334,426,350,546,227
LOC6575962,69,66,63,27,42,21
LOC6575965,205,178,178,326,567,233
LOC6575968,9,17,11,64,82,47
LOC6575969,3,0,3,3,7,0
LOC6575970,222,176,188,328,561,249
LOC6575971,3631,2427,3558,7224,10714,5077
LOC6575972,245,235,233,654,892,369
LOC6575973,93,106,124,154,276,98
LOC6575974,698,580,531,1508,2316,1039
LOC6575977,600,479,608,174,276,132
LOC6575979,13,19,7,41,88,31
LOC6575985,362,261,433,141,210,92
LOC6575986,0,1,0,0,5,2
LOC6575988,332,192,300,403,659,288
LOC6575989,238,233,247,103,173,69
LOC6575990,684,567,703,784,1339,488
LOC6575991,651,486,749,947,1399,663
LOC6575993,382,281,409,124,206,83
LOC6575994,2999,2911,2814,7268,12212,5045
LOC6575996,8156,6361,7761,941,1553,606
LOC6575997,36,16,28,141,157,73
LOC6576002,138,120,149,39,66,31
LOC6576004,22,19,7,59,98,38
LOC6576005,63,65,64,204,263,138
LOC6576009,1057,965,920,2163,3415,1386
LOC6576010,3259,2547,3004,4711,8507,3238
LOC6576011,1810,1453,1576,3319,5161,2629
LOC6576012,2385,1557,2316,2067,3181,977
LOC6576013,1808,1343,1690,2791,4422,2111
LOC6576014,924,715,940,1933,2845,1355
LOC6576015,889,683,796,851,1635,757
LOC6576016,968,778,917,1325,2248,780
LOC6576017,1831,1359,1692,1319,2504,1053
LOC6576018,544,497,565,902,1373,616
LOC6576019,2956,2497,2772,4113,7157,2810
LOC6576020,609,460,689,824,1472,652
LOC6576022,1177,978,974,2417,3957,1609
LOC6576024,1161,870,1213,1260,2017,780
LOC6576025,141,125,162,263,417,202
LOC6576026,186,134,177,298,618,254
LOC6576027,2502,1940,2511,3391,5688,2383
LOC6576028,406,308,434,711,1218,480
LOC6576029,175,116,138,285,444,202
LOC6576030,4445,3653,4439,3799,6517,2507
LOC6576031,897,752,774,690,1200,590
LOC6576036,373,287,428,524,731,260
LOC6576038,12158,9293,10760,20048,31431,13045
LOC6576041,1205,965,1122,709,1220,480
LOC6576042,449,332,479,804,1153,479
LOC6576043,1521,1088,1544,1891,2887,1155
LOC6576044,155,142,155,447,549,173
LOC6576045,1460,1072,1427,1244,1819,655
LOC6576046,225,156,235,290,410,171
LOC6576047,588,521,556,1790,2512,1022
LOC6576048,662,524,695,429,620,240
LOC6576050,758,619,814,1360,2184,925
LOC6576051,192,152,221,170,316,114
LOC6576052,2430,2010,2442,3354,5714,2415
LOC6576053,133,102,124,174,234,117
LOC6576054,584,533,554,1098,1629,781
LOC6576055,353,239,324,496,779,311
LOC6576056,982,734,936,742,1305,596
LOC6576057,484,406,503,783,1192,541
LOC6576058,1628,1332,1806,2040,2901,930
LOC6576059,249,137,170,364,578,263
LOC6576060,226,178,227,35,60,21
LOC6576061,29,20,19,16,27,20
LOC6576062,2239,1873,2037,2792,4892,1884
LOC6576063,2295,1751,2466,3337,5490,2584
LOC6576064,2318,1871,2246,2460,4006,1650
LOC6576066,372,280,406,35,63,28
LOC6576067,24098,20048,24312,86879,122663,62979
LOC6576068,1537,1254,1481,1556,2476,1071
LOC6576069,481,393,468,236,378,159
LOC6576070,4181,3544,4004,5890,9978,3615
LOC6576071,606,462,494,1297,1789,678
LOC6576072,31,31,27,30,58,22
LOC6576073,1339,1036,1309,1131,1999,875
LOC6576074,881,657,816,1163,1810,832
LOC6576075,1738,1480,1597,2478,3786,1609
LOC6576076,2751,2552,2592,4275,6835,3178
LOC6576077,877,782,766,1286,1951,934
LOC6576078,528,384,527,606,1077,381
LOC6576079,5,1,10,1,4,0
LOC6576080,631,490,523,1422,1848,836
LOC6576081,5567,4524,5504,12884,20634,9332
LOC6576082,78,57,58,251,374,131
LOC6576086,162,146,220,81,152,63
LOC6576087,281,235,291,113,159,75
LOC6576090,416,323,404,131,188,117
LOC6576092,783,601,750,1149,1880,823
LOC6576095,217,171,199,267,451,187
LOC6576096,704,508,557,1044,1658,763
LOC6576097,1936,1529,1807,2190,3573,1398
LOC6576098,24,15,21,17,28,7
LOC6576099,512,465,510,928,1505,601
LOC6576101,1088,993,974,3056,4209,1895
LOC6576102,4933,4138,4442,3338,5248,2250
LOC6576103,1220,873,1175,2096,3436,1439
LOC6576104,1180,1013,1013,2571,4515,1900
LOC6576105,659,508,712,1426,2031,908
LOC6576106,179,131,155,583,844,342
LOC6576110,1012,758,883,1310,2288,861
LOC6576112,473,447,412,1396,1955,805
LOC6576113,213,193,239,174,291,92
LOC6576114,25562,19296,26284,25280,33116,11504
LOC6576115,244,138,224,133,200,53
LOC6576117,4166,3763,3734,7152,9686,4417
LOC6576118,282,196,267,282,467,219
LOC6576119,467,337,437,547,836,294
LOC6576120,3800,3109,3609,8383,13693,5282
LOC6576124,103,79,86,302,321,134
LOC6576130,6,2,1,0,3,0
LOC6576131,649,593,622,1261,2118,851
LOC6576132,1143,890,1225,1472,2352,1163
LOC6576133,643,525,744,1036,1633,695
LOC6576134,564,451,515,1067,1508,803
LOC6576135,1390,1031,1325,868,1423,470
LOC6576136,413,352,326,715,1043,394
LOC6576137,512,483,507,604,998,436
LOC6576138,936,770,919,1154,2015,825
LOC6576139,3472,2844,3107,5597,8788,3138
LOC6576140,822,667,800,1118,1598,617
LOC6576141,279,209,252,524,852,429
LOC6576142,522,406,568,747,1230,525
LOC6576143,1472,1047,1393,3289,4785,1916
LOC6576144,129,110,141,109,199,78
LOC6576145,813,590,774,949,1421,514
LOC6576148,6558,5400,6013,6421,9561,4036
LOC6576149,651,527,567,1054,1364,550
LOC6576151,8762,6825,8086,9606,12151,3763
LOC6576152,133,100,127,120,177,82
LOC6576154,601,444,621,139,197,86
LOC6576155,265,188,257,174,241,97
LOC6576156,391,309,369,680,956,385
LOC6576158,497,350,486,255,439,137
LOC6576159,271,167,232,81,146,65
LOC6576163,730,581,712,1581,2613,1162
LOC6576164,320,208,275,504,750,275
LOC6576165,6,6,13,137,242,105
LOC6576166,688,647,674,2154,2843,1273
LOC6576167,247,183,208,205,383,165
LOC6576168,597,461,664,1037,1673,799
LOC6576169,5315,4369,5193,5459,9197,3221
LOC6576170,194,140,180,174,304,129
LOC6576171,401,330,387,471,829,366
LOC6576172,2845,2181,2776,3255,5387,1972
LOC6576173,9985,7919,9878,22075,36693,14839
LOC6576174,1122,903,1068,659,1153,467
LOC6576175,62,77,88,80,122,63
LOC6576179,269,252,260,411,612,221
LOC6576180,603,436,588,636,1028,397
LOC6576181,7773,6913,6585,32214,44410,20196
LOC6576182,280,228,292,102,175,96
LOC6576184,447,383,499,220,381,147
LOC6576185,3396,3113,3626,5634,9036,4306
LOC6576186,435,366,441,672,1134,533
LOC6576187,329,276,391,171,228,92
LOC6576188,716,561,789,983,1628,623
LOC6576189,895,677,803,829,1547,651
LOC6576190,2103,1628,1863,4104,6100,2793
LOC6576191,1741,1399,1525,1939,3212,1308
LOC6576192,223,157,222,469,557,219
LOC6576194,245,179,227,468,803,409
LOC6576195,401,293,345,406,662,289
LOC6576199,1311,911,1221,4486,6043,2599
LOC6576200,374,307,388,346,518,235
LOC6576201,103,94,133,53,98,44
LOC6576204,0,0,0,1,0,0
LOC6576214,1722,1687,1623,3893,6243,2944
LOC6576215,453,362,454,1201,1828,743
